Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Dur 90% (s)	BW 90% (Hz)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	51.513509608	67.518651403	477.7	1375.7	11.4014	516.797	624.463	1141.260	great.call
2	Spectrogram 1	1	71.439646704	71.893637593	780.8	1375.3	0.1905	441.431	829.028	1270.459	male.coda
3	Spectrogram 1	1	72.023349276	72.347628482	814.6	1108.4	0.1088	139.966	850.562	990.527	male.coda
4	Spectrogram 1	1	72.315200561	72.931331053	753.8	1152.4	0.1905	193.799	807.495	1001.294	male.coda
5	Spectrogram 1	1	73.028614815	73.547461545	723.4	1013.9	0.1905	150.732	775.195	925.928	male.coda
6	Spectrogram 1	1	130.279911524	146.299304311	486.9	1395.6	10.6122	559.863	656.763	1216.626	great.call
7	Spectrogram 1	1	148.731398358	149.250245088	750.4	1250.3	0.2177	344.531	807.495	1152.026	male.coda
8	Spectrogram 1	1	149.347528850	149.704235976	780.8	1003.7	0.1633	139.966	829.028	968.994	male.coda
9	Spectrogram 1	1	149.801519738	150.223082706	760.5	1020.6	0.2993	161.499	796.729	958.228	male.coda
