Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	241.347648517	253.461170970	470.312	1596.875	538.330	8.9796	635.229	1173.560	great.call
2	Spectrogram 1	1	255.579762239	256.013750302	641.920	1361.181	430.664	0.1905	775.195	1205.859	male.coda
3	Spectrogram 1	1	256.150799163	256.584787226	696.058	989.949	118.433	0.2721	807.495	925.928	male.coda
4	Spectrogram 1	1	294.607868708	306.668168557	510.443	1539.062	495.264	7.2381	656.763	1152.026	great.call
5	Spectrogram 1	1	385.985816728	397.292347837	518.177	1539.062	538.330	7.6735	656.763	1195.093	great.call
6	Spectrogram 1	1	399.718548544	400.106853653	672.856	1299.309	387.598	0.1361	807.495	1195.093	male.coda
7	Spectrogram 1	1	400.312426945	400.655049100	719.260	1129.161	204.565	0.2449	807.495	1012.061	male.coda
8	Spectrogram 1	1	400.837780916	401.203244548	703.792	1005.417	172.266	0.2993	775.195	947.461	male.coda
9	Spectrogram 1	1	474.967936317	487.005394689	487.241	1484.924	538.330	8.6259	645.996	1184.326	great.call
10	Spectrogram 1	1	490.497514383	490.817295061	603.250	1276.107	366.064	0.1088	753.662	1119.727	male.coda
11	Spectrogram 1	1	491.022868354	491.388331986	719.260	1368.915	409.131	0.1905	861.328	1270.459	male.coda
12	Spectrogram 1	1	491.502539371	491.845161526	703.792	1237.437	312.231	0.1905	807.495	1119.727	male.coda
13	Spectrogram 1	1	562.579567287	573.977464303	471.773	1624.136	495.264	7.2109	656.763	1152.026	great.call
14	Spectrogram 1	1	577.708156179	578.027936857	634.186	1361.181	419.897	0.1633	775.195	1195.093	male.coda
15	Spectrogram 1	1	578.096461288	578.324876058	726.994	1376.649	312.231	0.0816	915.161	1227.393	male.coda
16	Spectrogram 1	1	578.576132305	579.032961845	672.856	1152.363	215.332	0.2177	785.962	1001.294	male.coda
17	Spectrogram 1	1	579.078644799	579.421266953	665.122	1013.151	150.732	0.2177	753.662	904.395	male.coda
