Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	22.598311334	36.146459615	526.930	1567.279	559.863	8.9524	689.062	1248.926	great.call
2	Spectrogram 1	1	39.099720338	39.424875896	621.507	959.283	161.499	0.1088	667.529	829.028	male.coda
3	Spectrogram 1	1	39.479068489	39.831320345	695.818	1013.327	129.199	0.1361	753.662	882.861	male.coda
4	Spectrogram 1	1	39.939705531	40.319053683	614.752	1094.393	215.332	0.1905	689.062	904.395	male.coda
5	Spectrogram 1	1	63.799225428	78.404129276	520.175	1459.191	559.863	9.1429	678.296	1238.159	great.call
6	Spectrogram 1	1	81.053818611	81.406070466	668.796	959.283	150.732	0.1361	732.129	882.861	male.coda
7	Spectrogram 1	1	81.351877873	81.812514914	560.708	824.173	129.199	0.2177	645.996	775.195	male.coda
8	Spectrogram 1	1	81.704129728	82.381537142	553.952	857.950	161.499	0.4354	645.996	807.495	male.coda
9	Spectrogram 1	1	107.701794225	120.897690652	459.375	1574.035	592.163	8.5442	689.062	1281.226	great.call
10	Spectrogram 1	1	158.347235126	171.028301918	479.642	1668.612	602.930	9.6599	678.296	1281.226	great.call
11	Spectrogram 1	1	172.421515159	172.708914785	587.730	1053.860	183.032	0.1361	667.529	850.562	male.coda
12	Spectrogram 1	1	172.747234735	173.053794336	702.574	1094.393	215.332	0.1088	764.429	979.761	male.coda
13	Spectrogram 1	1	173.072954311	173.705233487	621.507	830.928	107.666	0.4354	678.296	785.962	male.coda
14	Spectrogram 1	1	214.461271597	228.697133055	486.397	1560.524	581.396	8.7075	678.296	1259.692	great.call
15	Spectrogram 1	1	230.554294833	230.765054559	601.241	911.994	107.666	0.0816	667.529	775.195	male.coda
16	Spectrogram 1	1	230.918334359	231.090774134	621.507	1040.349	161.499	0.0816	732.129	893.628	male.coda
17	Spectrogram 1	1	231.339853810	231.588933486	628.263	1074.127	269.165	0.1088	689.062	958.228	male.coda
18	Spectrogram 1	1	231.857173136	232.106252812	553.952	844.439	118.433	0.1361	613.696	732.129	male.coda
19	Spectrogram 1	1	273.954409498	287.711271581	466.131	1533.502	592.163	9.0068	689.062	1281.226	great.call
20	Spectrogram 1	1	290.057405202	290.247079278	621.507	1053.860	215.332	0.1088	678.296	893.628	male.coda
21	Spectrogram 1	1	290.382560761	290.585782985	662.040	1114.660	226.099	0.0816	742.896	968.994	male.coda
22	Spectrogram 1	1	290.639975579	291.127708917	587.730	790.395	53.833	0.2449	678.296	732.129	male.coda
23	Spectrogram 1	1	319.400081399	333.118623531	547.197	1553.768	592.163	9.2789	678.296	1270.459	great.call
24	Spectrogram 1	1	337.370781691	337.677341292	607.996	911.994	139.966	0.0816	656.763	796.729	male.coda
25	Spectrogram 1	1	337.773141167	338.041380818	709.329	1087.638	172.266	0.1905	764.429	936.694	male.coda
26	Spectrogram 1	1	338.232980569	338.482060244	628.263	1134.926	258.398	0.1361	699.829	958.228	male.coda
27	Spectrogram 1	1	377.015541248	390.331723904	506.664	1634.835	613.696	8.5442	678.296	1291.992	great.call
28	Spectrogram 1	1	392.283108859	392.513427380	614.752	993.061	161.499	0.1361	656.763	818.262	male.coda
29	Spectrogram 1	1	392.635360714	392.825034790	763.373	1121.415	150.732	0.1088	785.962	936.694	male.coda
30	Spectrogram 1	1	392.852131087	393.448249611	614.752	999.816	118.433	0.4354	689.062	807.495	male.coda
31	Spectrogram 1	1	393.461797759	393.570182945	594.485	790.395	139.966	0.0816	635.229	775.195	male.coda
32	Spectrogram 1	1	442.170912393	454.375816497	506.664	1553.768	570.630	8.1633	689.062	1259.692	great.call
33	Spectrogram 1	1	455.416657108	455.674071926	594.485	1101.149	236.865	0.0816	689.062	925.928	male.coda
34	Spectrogram 1	1	455.782457112	455.958583040	668.796	1148.437	172.266	0.0816	764.429	936.694	male.coda
35	Spectrogram 1	1	456.134708967	456.392123785	628.263	1128.171	258.398	0.1088	699.829	958.228	male.coda
36	Spectrogram 1	1	507.405203275	519.820867104	526.930	1452.436	602.930	8.3537	689.062	1291.992	great.call
37	Spectrogram 1	1	521.202358774	521.432677295	621.507	986.305	193.799	0.1361	667.529	861.328	male.coda
38	Spectrogram 1	1	521.608803223	521.784929150	722.840	1121.415	161.499	0.1361	775.195	936.694	male.coda
39	Spectrogram 1	1	521.974603226	522.069440264	648.529	1026.838	193.799	0.0816	699.829	893.628	male.coda
40	Spectrogram 1	1	522.164277302	522.516529158	499.908	1033.594	290.698	0.2993	624.463	915.161	male.coda
41	Spectrogram 1	1	597.300229566	611.766010725	506.664	1567.279	559.863	8.8980	699.829	1259.692	great.call
42	Spectrogram 1	1	613.015284890	613.326892300	594.485	1148.437	269.165	0.1905	667.529	936.694	male.coda
43	Spectrogram 1	1	613.367536745	613.638499711	695.818	1067.371	183.032	0.1633	764.429	947.461	male.coda
