Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	142.750314287	158.206090967	509.533	1554.075	559.863	12.0544	635.229	1195.093	great.call
2	Spectrogram 1	1	160.068839296	160.824007538	645.408	1044.542	236.865	0.2177	721.362	958.228	male.coda
3	Spectrogram 1	1	224.619644864	239.974732445	484.056	1588.044	559.863	11.8367	624.463	1184.326	great.call
4	Spectrogram 1	1	241.384379830	242.038858972	679.377	1205.894	430.664	0.1905	732.129	1162.793	male.coda
5	Spectrogram 1	1	242.240237170	242.794027214	679.377	1154.941	355.298	0.1633	721.362	1076.660	male.coda
6	Spectrogram 1	1	384.998255558	400.101620392	441.595	1672.966	506.030	10.9116	635.229	1141.260	great.call
7	Spectrogram 1	1	402.266436018	402.719536963	662.393	1197.402	312.231	0.1905	742.896	1055.127	male.coda
8	Spectrogram 1	1	402.769881513	403.222982458	653.900	1290.816	376.831	0.2177	775.195	1152.026	male.coda
9	Spectrogram 1	1	403.323671556	403.776772501	653.900	1180.418	344.531	0.1633	742.896	1087.427	male.coda
10	Spectrogram 1	1	443.765752964	459.825664238	424.611	1630.505	516.797	12.2993	613.696	1130.493	great.call
11	Spectrogram 1	1	461.585941489	461.938353335	679.377	1222.879	387.598	0.1361	742.896	1130.493	male.coda
12	Spectrogram 1	1	462.064214709	462.391454280	670.885	1324.785	430.664	0.1088	775.195	1205.859	male.coda
13	Spectrogram 1	1	462.592832478	463.020761148	636.916	1273.832	398.364	0.1088	732.129	1130.493	male.coda
14	Spectrogram 1	1	493.031534418	510.173853505	390.642	1638.997	549.097	13.1156	624.463	1173.560	great.call
15	Spectrogram 1	1	511.845421323	512.147488619	679.377	1222.879	419.897	0.1633	721.362	1141.260	male.coda
16	Spectrogram 1	1	512.348866817	512.650934114	696.362	1316.293	419.897	0.1633	764.429	1184.326	male.coda
17	Spectrogram 1	1	513.003345960	513.305413256	704.854	1282.324	430.664	0.1633	732.129	1162.793	male.coda
18	Spectrogram 1	1	549.523255917	567.068331399	382.150	1689.951	549.097	12.7347	613.696	1162.793	great.call
19	Spectrogram 1	1	568.485181551	568.812421123	636.916	1384.231	376.831	0.1088	753.662	1130.493	male.coda
20	Spectrogram 1	1	568.913110222	569.215177518	662.393	1409.707	452.197	0.1088	796.729	1248.926	male.coda
21	Spectrogram 1	1	569.466900266	569.794139837	653.900	1358.754	452.197	0.1088	764.429	1216.626	male.coda
22	Spectrogram 1	1	570.196896233	570.574480354	653.900	1367.246	452.197	0.1361	753.662	1205.859	male.coda
23	Spectrogram 1	1	596.688043164	605.498339317	424.611	1537.091	495.264	7.3469	613.696	1108.960	great.call
24	Spectrogram 1	1	606.379368932	606.656263954	619.932	1290.816	409.131	0.1088	764.429	1173.560	male.coda
25	Spectrogram 1	1	606.857642152	607.109364899	645.408	1384.231	419.897	0.1361	785.962	1205.859	male.coda
26	Spectrogram 1	1	607.260398548	607.512121295	645.408	1180.418	204.565	0.1633	742.896	947.461	male.coda
27	Spectrogram 1	1	607.965222240	608.468667734	645.408	1222.879	409.131	0.1633	710.596	1119.727	male.coda
28	Spectrogram 1	1	654.004460910	671.524364117	467.072	1494.630	538.330	13.3061	635.229	1173.560	great.call
29	Spectrogram 1	1	672.787186212	673.038908960	645.408	1256.848	419.897	0.1088	753.662	1173.560	male.coda
30	Spectrogram 1	1	673.114425784	673.492009905	679.377	1282.324	398.364	0.1088	775.195	1173.560	male.coda
31	Spectrogram 1	1	673.617871278	673.844421751	704.854	1282.324	376.831	0.1088	775.195	1152.026	male.coda
32	Spectrogram 1	1	674.045799948	674.398211795	670.885	1146.449	279.932	0.1361	742.896	1022.827	male.coda
33	Spectrogram 1	1	747.784848346	766.652303670	433.103	1537.091	430.664	12.5442	624.463	1055.127	great.call
34	Spectrogram 1	1	769.286627621	769.713815288	670.885	1273.832	441.431	0.0816	732.129	1173.560	male.coda
35	Spectrogram 1	1	769.848119819	769.990515708	713.346	1307.801	322.998	0.0816	753.662	1076.660	male.coda
36	Spectrogram 1	1	770.293106973	770.506700806	645.408	1239.863	366.064	0.0816	732.129	1098.193	male.coda
37	Spectrogram 1	1	770.880490016	771.236479739	636.916	1239.863	398.364	0.0816	742.896	1141.260	male.coda
38	Spectrogram 1	1	803.254595946	821.328289197	450.087	1494.630	430.664	13.6327	613.696	1044.360	great.call
39	Spectrogram 1	1	822.844331244	823.247087640	670.885	1282.324	366.064	0.1088	732.129	1098.193	male.coda
40	Spectrogram 1	1	823.381422399	823.648414692	704.854	1375.739	387.598	0.1088	785.962	1173.560	male.coda
