Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	17.979194401	32.678117592	519.471	1460.629	495.264	8.4354	699.829	1195.093	great.call
2	Spectrogram 1	1	54.512586605	67.304174205	537.805	1674.529	592.163	8.1633	689.062	1281.226	great.call
3	Spectrogram 1	1	86.154504699	100.397325900	507.248	1619.526	452.197	8.2449	689.062	1141.260	great.call
4	Spectrogram 1	1	124.823911646	137.263056800	507.248	1497.298	484.497	8.6803	710.596	1195.093	great.call
5	Spectrogram 1	1	159.449340100	173.588501759	495.025	1442.295	452.197	7.1565	710.596	1162.793	great.call
6	Spectrogram 1	1	174.473691064	174.763937784	586.696	965.604	183.032	0.0816	656.763	839.795	male.coda
7	Spectrogram 1	1	174.826133510	175.116380230	684.479	947.270	107.666	0.0544	775.195	882.861	male.coda
8	Spectrogram 1	1	175.157844047	175.468822676	556.139	739.482	86.133	0.1088	624.463	710.596	male.coda
9	Spectrogram 1	1	203.692489076	215.644434378	513.359	1460.629	559.863	10.6395	689.062	1248.926	great.call
10	Spectrogram 1	1	216.716210541	216.902797719	598.919	904.490	183.032	0.0816	667.529	850.562	male.coda
11	Spectrogram 1	1	217.006457261	217.296703982	739.482	1014.496	118.433	0.0544	785.962	904.395	male.coda
12	Spectrogram 1	1	217.275972073	217.628414519	592.808	745.593	86.133	0.1905	656.763	742.896	male.coda
13	Spectrogram 1	1	249.104477344	262.829000831	507.248	1442.295	538.330	9.4422	699.829	1238.159	great.call
15	Spectrogram 1	1	310.638354994	324.155559395	495.025	1546.189	527.563	9.6599	678.296	1205.859	great.call
16	Spectrogram 1	1	325.415179372	325.746889909	586.696	886.156	129.199	0.0816	667.529	796.729	male.coda
17	Spectrogram 1	1	325.746889909	325.974940904	684.479	1032.830	139.966	0.1088	753.662	893.628	male.coda
18	Spectrogram 1	1	326.037136630	326.472506710	543.916	751.705	86.133	0.2177	635.229	721.362	male.coda
19	Spectrogram 1	1	365.511947218	378.614513447	476.691	1546.189	484.497	9.1429	699.829	1184.326	great.call
20	Spectrogram 1	1	381.695400586	382.027111123	586.696	818.930	139.966	0.0816	613.696	753.662	male.coda
21	Spectrogram 1	1	382.213698300	382.586872655	598.919	880.044	139.966	0.1088	635.229	775.195	male.coda
22	Spectrogram 1	1	428.444597866	442.355708530	531.693	1460.629	549.097	9.6871	699.829	1248.926	great.call
23	Spectrogram 1	1	443.222679149	443.471462052	580.585	886.156	139.966	0.1088	667.529	807.495	male.coda
24	Spectrogram 1	1	443.533657778	443.844636407	715.036	1087.833	161.499	0.1088	775.195	936.694	male.coda
25	Spectrogram 1	1	443.782440681	444.466593665	580.585	751.705	75.366	0.2721	656.763	732.129	male.coda
26	Spectrogram 1	1	487.669377670	501.746343602	507.248	1631.749	495.264	8.7075	689.062	1184.326	great.call
27	Spectrogram 1	1	502.652892974	502.880943969	653.922	1008.384	193.799	0.1088	699.829	893.628	male.coda
28	Spectrogram 1	1	502.943139694	503.295582141	739.482	1026.718	129.199	0.1088	775.195	904.395	male.coda
29	Spectrogram 1	1	503.337045958	503.793147947	623.365	843.376	129.199	0.1633	678.296	807.495	male.coda
30	Spectrogram 1	1	548.447165973	561.321681208	507.248	1430.072	516.797	8.7619	699.829	1216.626	great.call
31	Spectrogram 1	1	562.582997188	562.876190651	592.808	977.827	215.332	0.1088	699.829	915.161	male.coda
32	Spectrogram 1	1	562.949489017	563.213363133	617.253	1051.164	150.732	0.1088	775.195	925.928	male.coda
33	Spectrogram 1	1	563.242682480	563.506556596	611.142	806.707	86.133	0.1361	656.763	742.896	male.coda
34	Spectrogram 1	1	563.609174308	563.873048425	562.251	770.039	86.133	0.0816	645.996	732.129	male.coda
35	Spectrogram 1	1	603.132736094	613.900266024	531.693	1436.183	538.330	8.2177	699.829	1238.159	great.call
36	Spectrogram 1	1	615.678281466	615.942155583	556.139	977.827	193.799	0.0816	656.763	850.562	male.coda
37	Spectrogram 1	1	615.971474929	616.206029700	611.142	1057.275	129.199	0.0544	764.429	893.628	male.coda
38	Spectrogram 1	1	616.323307085	616.807076299	611.142	837.264	139.966	0.2993	656.763	796.729	male.coda
39	Spectrogram 1	1	665.249658436	676.860119572	495.025	1564.523	462.964	7.2653	699.829	1162.793	great.call
40	Spectrogram 1	1	678.255239399	678.519113515	617.253	947.270	183.032	0.1361	656.763	839.795	male.coda
41	Spectrogram 1	1	678.592411881	678.782987632	715.036	1051.164	193.799	0.0816	753.662	947.461	male.coda
42	Spectrogram 1	1	678.826966652	679.354714885	586.696	745.593	86.133	0.3265	645.996	732.129	male.coda
43	Spectrogram 1	1	730.961156536	743.234446422	550.028	1454.518	409.131	8.2449	689.062	1098.193	great.call
44	Spectrogram 1	1	744.244413271	744.464308368	598.919	904.490	161.499	0.0816	678.296	839.795	male.coda
45	Spectrogram 1	1	744.552266407	744.772161504	672.256	1118.390	247.632	0.0816	775.195	1022.827	male.coda
46	Spectrogram 1	1	744.786821177	745.065354967	666.145	812.819	75.366	0.1905	699.829	775.195	male.coda
47	Spectrogram 1	1	745.329229084	745.622422547	592.808	892.267	161.499	0.1361	699.829	861.328	male.coda
48	Spectrogram 1	1	792.713972870	805.007994665	519.471	1497.298	419.897	7.8639	699.829	1119.727	great.call
49	Spectrogram 1	1	806.144480096	806.372531090	592.808	1081.721	236.865	0.0816	710.596	947.461	male.coda
50	Spectrogram 1	1	806.455458725	807.284735068	672.256	965.604	193.799	0.3265	699.829	893.628	male.coda
51	Spectrogram 1	1	866.899024024	880.975989957	495.025	1405.626	484.497	8.3537	699.829	1184.326	great.call
52	Spectrogram 1	1	881.678361625	881.968608346	568.362	1075.610	215.332	0.0816	689.062	904.395	male.coda
53	Spectrogram 1	1	881.989340254	882.238123157	672.256	1155.058	193.799	0.0816	796.729	990.527	male.coda
54	Spectrogram 1	1	882.341782700	882.590565603	611.142	1155.058	258.398	0.1088	753.662	1012.061	male.coda
55	Spectrogram 1	1	882.632029420	883.067399501	556.139	788.373	43.066	0.1905	678.296	721.362	male.coda
56	Spectrogram 1	1	960.274911609	972.527469586	501.136	1460.629	419.897	7.7007	699.829	1119.727	great.call
57	Spectrogram 1	1	974.015769304	974.347479841	586.696	1057.275	269.165	0.1905	678.296	947.461	male.coda
58	Spectrogram 1	1	974.368211750	974.658458470	678.368	1130.613	226.099	0.1361	775.195	1001.294	male.coda
59	Spectrogram 1	1	974.782849922	975.031632825	635.588	1191.727	355.298	0.1361	710.596	1065.894	male.coda
60	Spectrogram 1	1	975.114560459	975.487734814	611.142	849.487	139.966	0.2449	689.062	829.028	male.coda
61	Spectrogram 1	1	975.632858174	976.006032529	598.919	983.938	183.032	0.1088	742.896	925.928	male.coda
62	Spectrogram 1	1	1030.211177819	1043.085693053	482.802	1521.743	495.264	7.9728	699.829	1195.093	great.call
63	Spectrogram 1	1	1044.202074735	1044.554517181	574.473	983.938	183.032	0.1088	667.529	850.562	male.coda
64	Spectrogram 1	1	1044.575249089	1044.761836267	708.925	1124.501	215.332	0.1088	818.262	1033.594	male.coda
65	Spectrogram 1	1	1044.741104358	1045.052082987	586.696	855.599	96.899	0.1633	710.596	807.495	male.coda
66	Spectrogram 1	1	1045.176474438	1045.715504062	611.142	837.264	107.666	0.3537	678.296	785.962	male.coda
67	Spectrogram 1	1	1123.130964003	1136.772559855	495.025	1509.521	462.964	9.6871	689.062	1152.026	great.call
68	Spectrogram 1	1	1137.889569695	1138.200548324	623.365	1032.830	247.632	0.0816	699.829	947.461	male.coda
69	Spectrogram 1	1	1138.200548324	1139.299339480	635.588	1002.273	226.099	0.5170	678.296	904.395	male.coda
70	Spectrogram 1	1	1202.621499469	1214.231368280	491.553	1681.627	495.264	8.6259	678.296	1173.560	great.call
71	Spectrogram 1	1	1215.189228805	1215.511741615	609.790	1054.936	236.865	0.1088	689.062	925.928	male.coda
72	Spectrogram 1	1	1215.558210430	1215.827725241	727.259	1136.724	258.398	0.1088	796.729	1055.127	male.coda
73	Spectrogram 1	1	1215.847828212	1216.490517379	660.033	1057.275	161.499	0.3537	678.296	839.795	male.coda
