Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call.type
1	Spectrogram 1	1	223.938108369	233.615626717	471.377	1495.716	581.396	7.6190	602.930	1184.326	great.call
2	Spectrogram 1	1	238.104026190	238.323064671	628.169	1115.320	236.865	0.0907	732.129	968.994	male.coda
3	Spectrogram 1	1	238.363902709	238.575107611	685.858	1089.680	86.133	0.1088	882.861	968.994	male.coda
4	Spectrogram 1	1	238.898955129	239.462168203	621.759	1134.549	150.732	0.3447	775.195	925.928	male.coda
5	Spectrogram 1	1	265.945555727	276.562122171	429.462	1628.110	624.463	7.3651	602.930	1227.393	great.call
6	Spectrogram 1	1	280.232820463	280.486266346	634.578	1301.206	409.131	0.1088	775.195	1184.326	male.coda
7	Spectrogram 1	1	280.570748307	281.063559747	685.858	1262.747	129.199	0.2902	861.328	990.527	male.coda
8	Spectrogram 1	1	281.133961381	281.598612167	589.709	1237.108	301.465	0.2721	710.596	1012.061	male.coda
9	Spectrogram 1	1	314.978800324	325.595366768	346.134	1589.651	624.463	7.6372	645.996	1270.459	great.call
10	Spectrogram 1	1	329.012192555	329.321959745	608.939	1333.256	344.531	0.1633	710.596	1055.127	male.coda
11	Spectrogram 1	1	359.874135314	370.617424700	397.413	1698.619	645.996	7.0567	602.930	1248.926	great.call
12	Spectrogram 1	1	417.195572166	426.826515730	474.331	1544.782	602.930	6.0952	667.529	1270.459	great.call
13	Spectrogram 1	1	429.666901360	430.117471819	596.119	1301.206	430.664	0.1633	732.129	1162.793	male.coda
14	Spectrogram 1	1	430.708845546	430.877809469	589.709	1031.991	236.865	0.0907	667.529	904.395	male.coda
15	Spectrogram 1	1	431.272058620	431.469183196	589.709	890.974	107.666	0.0907	645.996	753.662	male.coda
16	Spectrogram 1	1	431.567745484	431.778950387	557.660	839.695	107.666	0.0907	624.463	732.129	male.coda
17	Spectrogram 1	1	462.950233715	473.806165716	435.872	1320.436	645.996	7.2925	602.930	1248.926	great.call
18	Spectrogram 1	1	477.870259916	478.320830375	544.840	1346.076	495.264	0.1451	710.596	1205.859	male.coda
19	Spectrogram 1	1	478.391232009	478.869963122	628.169	1217.878	279.932	0.3628	689.062	968.994	male.coda
20	Spectrogram 1	1	478.982605737	479.348694235	544.840	1173.009	279.932	0.2540	667.529	947.461	male.coda
21	Spectrogram 1	1	479.447256523	479.757023714	519.201	1076.860	301.465	0.1814	645.996	947.461	male.coda
22	Spectrogram 1	1	521.805999572	532.957618436	397.413	1493.503	602.930	8.5442	624.463	1227.393	great.call
23	Spectrogram 1	1	563.534540486	575.404256020	442.282	1679.390	538.330	8.1995	624.463	1162.793	great.call
24	Spectrogram 1	1	580.918623486	581.214310349	576.890	1506.323	473.730	0.1088	753.662	1227.393	male.coda
25	Spectrogram 1	1	581.538157867	581.805684077	602.529	942.253	172.266	0.1270	624.463	796.729	male.coda
26	Spectrogram 1	1	610.387040508	619.820859497	384.593	1756.308	602.930	7.5465	602.930	1205.859	great.call
27	Spectrogram 1	1	670.652118915	679.241118293	467.922	1743.488	645.996	6.0227	602.930	1248.926	great.call
28	Spectrogram 1	1	682.000862355	682.338790199	576.890	1006.352	301.465	0.1814	581.396	882.861	male.coda
29	Spectrogram 1	1	682.676718044	682.902003273	564.070	801.235	107.666	0.0726	624.463	732.129	male.coda
30	Spectrogram 1	1	714.945406233	725.224044833	461.512	1467.863	624.463	6.5488	602.930	1227.393	great.call
31	Spectrogram 1	1	727.981167016	728.290934207	583.299	1051.221	258.398	0.1088	667.529	925.928	male.coda
32	Spectrogram 1	1	728.262773553	728.572540744	576.890	826.875	107.666	0.0726	624.463	732.129	male.coda
33	Spectrogram 1	1	765.272699286	776.297595209	455.102	1685.799	645.996	6.9116	602.930	1248.926	great.call
34	Spectrogram 1	1	778.686983757	779.024911601	570.480	1307.616	430.664	0.0726	753.662	1184.326	male.coda
35	Spectrogram 1	1	779.236116504	779.433241080	621.759	1384.535	366.064	0.0726	753.662	1119.727	male.coda
36	Spectrogram 1	1	779.447321407	779.813409905	621.759	1121.730	150.732	0.2902	689.062	839.795	male.coda
39	Spectrogram 1	1	780.024614808	780.263980364	589.709	1051.221	150.732	0.1633	667.529	818.262	male.coda
40	Spectrogram 1	1	813.630941038	822.938037085	416.642	1576.831	624.463	7.2925	602.930	1227.393	great.call
