Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	30.355535692	30.827452695	625.1	1232.3	322.998	0.2177	732.129	1055.127	male.coda
2	Spectrogram 1	1	31.075830065	31.647098016	714.4	1089.4	215.332	0.2177	785.962	1001.294	male.coda
3	Spectrogram 1	1	31.845799912	32.441905600	654.8	1250.1	355.298	0.1905	764.429	1119.727	male.coda
4	Spectrogram 1	1	105.422115226	105.993383177	637.0	1244.2	333.765	0.2177	721.362	1055.127	male.coda
5	Spectrogram 1	1	106.117571862	106.788190762	690.6	1172.7	258.398	0.1905	753.662	1012.061	male.coda
6	Spectrogram 1	1	181.549477351	182.071069828	583.4	1196.6	301.465	0.1633	721.362	1022.827	male.coda
7	Spectrogram 1	1	182.269771724	182.865877412	613.2	1172.7	226.099	0.1905	753.662	979.761	male.coda
8	Spectrogram 1	1	240.643984288	241.289765450	668.9	1205.1	312.231	0.2721	764.429	1076.660	male.coda
9	Spectrogram 1	1	308.168238156	308.540804211	651.6	1222.4	290.698	0.1088	764.429	1055.127	male.coda
10	Spectrogram 1	1	308.764343844	309.112072162	663.1	1147.5	215.332	0.1361	818.262	1033.594	male.coda
11	Spectrogram 1	1	309.410125007	309.633664640	668.9	1193.6	279.932	0.1088	764.429	1044.360	male.coda
12	Spectrogram 1	1	361.394301484	361.891056224	576.6	1228.2	344.531	0.2177	710.596	1055.127	male.coda
13	Spectrogram 1	1	362.040082646	362.561675123	674.6	1130.2	204.565	0.2177	785.962	990.527	male.coda
14	Spectrogram 1	1	362.735539282	363.356482707	686.2	1199.4	290.698	0.2449	753.662	1044.360	male.coda
15	Spectrogram 1	1	347.337751453	360.973669070	426.7	1441.6	602.930	9.1156	613.696	1216.626	great.call
16	Spectrogram 1	1	292.229952721	306.412300553	409.4	1424.3	549.097	9.1973	602.930	1152.026	great.call
17	Spectrogram 1	1	223.987817847	239.312701581	403.6	1447.3	635.229	11.2653	581.396	1216.626	great.call
18	Spectrogram 1	1	166.624913405	180.608559341	351.7	1464.6	506.030	8.8435	624.463	1130.493	great.call
19	Spectrogram 1	1	87.797578257	102.799571409	403.6	1372.4	506.030	9.6327	592.163	1098.193	great.call
20	Spectrogram 1	1	14.253642404	28.808556290	397.9	1458.9	559.863	9.9320	602.930	1162.793	great.call
