Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	18.154875716	32.590851807	374.6	1431.2	678.296	10.7483	592.163	1270.459	great.call
2	Spectrogram 1	1	83.110047543	96.725373831	442.0	1452.3	678.296	8.9524	602.930	1281.226	great.call
3	Spectrogram 1	1	173.197279875	187.782465021	399.9	1431.2	624.463	8.5442	602.930	1227.393	great.call
4	Spectrogram 1	1	224.626681185	237.943589362	370.4	1507.0	645.996	8.7347	592.163	1238.159	great.call
5	Spectrogram 1	1	238.227444599	238.781354956	593.5	930.3	215.332	0.1633	635.229	850.562	male.coda
6	Spectrogram 1	1	238.860485007	239.335265314	585.1	934.5	226.099	0.1361	645.996	872.095	male.coda
7	Spectrogram 1	1	273.254648280	286.785887012	345.2	1464.9	645.996	9.1973	581.396	1227.393	great.call
8	Spectrogram 1	1	288.314622577	288.763026199	551.4	858.7	129.199	0.1905	613.696	742.896	male.coda
9	Spectrogram 1	1	289.316936557	289.791716863	631.4	1187.1	312.231	0.1361	732.129	1044.360	male.coda
10	Spectrogram 1	1	289.844470230	290.240120486	627.2	1022.9	247.632	0.1633	689.062	936.694	male.coda
11	Spectrogram 1	1	290.345627221	290.767654160	551.4	1018.7	269.165	0.1905	656.763	925.928	male.coda
12	Spectrogram 1	1	314.465475784	328.577001557	437.8	1443.8	602.930	10.1497	581.396	1184.326	great.call
13	Spectrogram 1	1	329.790329007	330.344239364	551.4	1149.2	366.064	0.2721	645.996	1012.061	male.coda
14	Spectrogram 1	1	330.608006201	331.056409824	580.9	1157.6	322.998	0.2449	710.596	1033.594	male.coda
15	Spectrogram 1	1	367.459809080	380.463514138	383.1	1443.8	559.863	8.7347	570.630	1130.493	great.call
16	Spectrogram 1	1	386.311153409	386.627673613	597.7	1191.3	290.698	0.1088	753.662	1044.360	male.coda
17	Spectrogram 1	1	386.917817133	387.207960654	593.5	1056.6	183.032	0.1088	742.896	925.928	male.coda
18	Spectrogram 1	1	387.366220756	387.735494328	551.4	917.7	215.332	0.1633	624.463	839.795	male.coda
19	Spectrogram 1	1	413.279684112	427.101066364	412.5	1536.4	678.296	9.3878	602.930	1281.226	great.call
20	Spectrogram 1	1	431.306479128	431.702129383	623.0	1182.8	333.765	0.1633	732.129	1065.894	male.coda
21	Spectrogram 1	1	431.807636118	432.203286373	648.3	1107.1	269.165	0.1361	710.596	979.761	male.coda
22	Spectrogram 1	1	432.862703465	433.416613823	601.9	1182.8	301.465	0.1905	721.362	1022.827	male.coda
23	Spectrogram 1	1	465.548102411	478.182533897	378.8	1456.5	656.763	9.0340	570.630	1227.393	great.call
24	Spectrogram 1	1	479.844264970	480.556435429	572.5	1149.2	204.565	0.1361	753.662	958.228	male.coda
25	Spectrogram 1	1	481.415425465	481.942959139	580.9	888.2	150.732	0.1633	656.763	807.495	male.coda
26	Spectrogram 1	1	520.700755361	536.104738635	370.4	1477.5	645.996	9.8231	592.163	1238.159	great.call
27	Spectrogram 1	1	537.660962973	538.135743279	576.7	1267.0	376.831	0.1905	742.896	1119.727	male.coda
28	Spectrogram 1	1	538.291738985	538.713765924	614.6	1035.5	236.865	0.2177	699.829	936.694	male.coda
29	Spectrogram 1	1	538.977532761	539.425936384	593.5	1128.1	258.398	0.2177	710.596	968.994	male.coda
30	Spectrogram 1	1	591.648513651	605.364389169	315.7	1477.5	602.930	9.5238	592.163	1195.093	great.call
31	Spectrogram 1	1	607.184380343	607.843797435	601.9	1182.8	258.398	0.2177	753.662	1012.061	male.coda
32	Spectrogram 1	1	608.239447691	608.898864783	644.0	1145.0	279.932	0.2449	742.896	1022.827	male.coda
33	Spectrogram 1	1	609.452775140	609.822048712	580.9	1123.9	301.465	0.1633	699.829	1001.294	male.coda
34	Spectrogram 1	1	610.112192232	610.296829018	593.5	968.2	215.332	0.0816	678.296	893.628	male.coda
