Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	4.930894181	22.713925450	362.000	1397.500	602.930	10.6057	602.930	1205.859	great.call
2	Spectrogram 1	1	44.425014850	61.158242840	416.700	1405.900	516.797	12.1556	602.930	1119.727	great.call
3	Spectrogram 1	1	86.595365090	101.038113200	412.500	1431.200	258.398	6.5190	602.930	861.328	great.call
4	Spectrogram 1	1	129.457578100	143.486767300	408.300	1418.600	689.062	8.6843	602.930	1291.992	great.call
5	Spectrogram 1	1	180.749815200	195.478873300	324.100	1389.100	602.930	9.7582	602.930	1205.859	great.call
6	Spectrogram 1	1	234.412169600	250.063782100	412.500	1422.800	602.930	10.3561	602.930	1205.859	great.call
7	Spectrogram 1	1	289.318989300	303.825361800	395.700	1389.100	689.062	9.8569	602.930	1291.992	great.call
8	Spectrogram 1	1	338.408390000	353.042011400	332.500	1578.500	602.930	8.6204	602.930	1205.859	great.call
9	Spectrogram 1	1	396.893977000	411.050415100	442.000	1439.600	602.930	8.1444	602.930	1205.859	great.call
10	Spectrogram 1	1	455.025840800	469.977584500	426.100	1531.300	602.930	9.3344	602.930	1205.859	great.call
11	Spectrogram 1	1	529.111212200	542.217847000	409.200	1607.300	602.930	8.8468	602.930	1205.859	great.call
12	Spectrogram 1	1	594.579475500	609.563031400	388.100	1434.300	516.797	8.7713	602.930	1119.727	great.call
13	Spectrogram 1	1	647.005156300	662.370458800	417.600	1472.300	602.930	10.1529	602.930	1205.859	great.call
14	Spectrogram 1	1	721.810198100	735.139518500	413.400	1438.500	602.930	8.6378	602.930	1205.859	great.call
15	Spectrogram 1	1	853.255933900	868.080428700	354.400	1624.100	602.930	10.1761	602.930	1205.859	great.call
16	Spectrogram 1	1	915.300486600	929.743234700	405.000	1463.800	602.930	10.2864	602.930	1205.859	great.call
17	Spectrogram 1	1	988.693995200	1003.645739000	400.800	1463.800	602.930	10.4490	602.930	1205.859	great.call
18	Spectrogram 1	1	1072.108139000	1085.023900000	442.900	1552.400	602.930	7.8774	602.930	1205.859	great.call
19	Spectrogram 1	1	1137.361723000	1151.263663000	362.800	1476.500	689.062	9.6421	602.930	1291.992	great.call
21	Spectrogram 1	1	1198.404620000	1212.465621000	442.900	1451.200	602.930	9.3809	602.930	1205.859	great.call
22	Spectrogram 1	1	1263.880889000	1280.423244000	413.400	1535.500	516.797	10.2922	602.930	1119.727	great.call
23	Spectrogram 1	1	1348.503897000	1358.970117000	388.100	1404.800	602.930	6.5364	602.930	1205.859	great.call
24	Spectrogram 1	1	1395.970874000	1411.367989000	451.400	1383.700	602.930	9.5376	602.930	1205.859	great.call
25	Spectrogram 1	1	1475.384470000	1489.350035000	459.800	1425.900	602.930	9.1487	602.930	1205.859	great.call
26	Spectrogram 1	1	1491.481453000	1491.926824000	675.000	1054.600	172.266	0.2032	775.195	947.461	male.coda
27	Spectrogram 1	1	1490.781585000	1491.322392000	624.300	1210.700	430.664	0.1625	689.062	1119.727	male.coda
28	Spectrogram 1	1	1415.698668000	1416.207663000	649.700	1295.100	516.797	0.1683	689.062	1205.859	male.coda
29	Spectrogram 1	1	1414.776113000	1415.189672000	696.100	1113.700	258.398	0.1683	775.195	1033.594	male.coda
30	Spectrogram 1	1	1413.885371000	1414.553428000	662.300	1269.800	430.664	0.1800	775.195	1205.859	male.coda
31	Spectrogram 1	1	1360.596971000	1361.105967000	615.900	1227.600	344.531	0.1974	775.195	1119.727	male.coda
32	Spectrogram 1	1	1361.169591000	1361.774023000	721.400	1151.700	344.531	0.1335	775.195	1119.727	male.coda
33	Spectrogram 1	1	1282.511267000	1283.147511000	603.300	1286.700	344.531	0.1277	775.195	1119.727	male.coda
34	Spectrogram 1	1	1213.436213000	1213.977021000	691.800	1206.500	258.398	0.1103	775.195	1033.594	male.coda
35	Spectrogram 1	1	1214.167894000	1214.454204000	687.600	1143.200	258.398	0.0871	775.195	1033.594	male.coda
36	Spectrogram 1	1	1152.894627000	1153.435435000	637.000	1181.200	258.398	0.1045	775.195	1033.594	male.coda
37	Spectrogram 1	1	1153.530871000	1153.944430000	658.100	1126.300	258.398	0.1045	775.195	1033.594	male.coda
38	Spectrogram 1	1	1085.458010000	1085.967005000	653.900	1223.400	344.531	0.1509	775.195	1119.727	male.coda
39	Spectrogram 1	1	1086.062442000	1086.444188000	687.600	1054.600	172.266	0.1393	775.195	947.461	male.coda
40	Spectrogram 1	1	1005.177262000	1005.622633000	577.900	1185.400	344.531	0.1161	775.195	1119.727	male.coda
41	Spectrogram 1	1	1006.163441000	1006.704249000	586.400	1193.800	430.664	0.1335	689.062	1119.727	male.coda
42	Spectrogram 1	1	934.694678500	935.076425100	611.700	1274.000	344.531	0.1335	775.195	1119.727	male.coda
43	Spectrogram 1	1	935.171861800	935.649045100	632.800	1240.200	430.664	0.1277	689.062	1119.727	male.coda
44	Spectrogram 1	1	869.154784600	869.918277900	641.200	1202.300	344.531	0.1800	775.195	1119.727	male.coda
