Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	17.978270348	32.803531279	437.8	1650.1	753.662	9.5782	602.930	1356.592	great.call
2	Spectrogram 1	1	48.781013780	62.502265918	399.9	1561.7	699.829	10.0408	602.930	1302.759	great.call
3	Spectrogram 1	1	89.847104224	101.581140535	463.0	1599.6	624.463	7.9456	624.463	1248.926	great.call
4	Spectrogram 1	1	142.468507200	155.117293654	420.9	1591.2	570.630	8.0544	635.229	1205.859	geat.call
5	Spectrogram 1	1	192.075343291	204.345612445	505.1	1532.2	581.396	8.4354	656.763	1238.159	great.call
6	Spectrogram 1	1	211.600527368	212.042130885	677.7	1195.5	333.765	0.1633	753.662	1087.427	male.coda
7	Spectrogram 1	1	212.136760211	212.925337920	745.1	1132.3	236.865	0.2449	775.195	1012.061	male.coda
8	Spectrogram 1	1	229.917901382	242.692860269	475.7	1574.3	592.163	8.1088	635.229	1227.393	great.call
9	Spectrogram 1	1	272.068293802	283.802330113	425.2	1565.9	549.097	7.2653	635.229	1184.326	great.call
10	Spectrogram 1	1	286.672752974	287.114356491	660.9	1267.0	409.131	0.1905	742.896	1152.026	male.coda
11	Spectrogram 1	1	287.303615141	287.619046225	745.1	1128.1	215.332	0.1088	796.729	1012.061	male.coda
12	Spectrogram 1	1	307.917934069	321.229125799	420.9	1557.5	581.396	8.3265	624.463	1205.859	great.call
13	Spectrogram 1	1	324.225721093	324.698867719	690.3	1288.1	409.131	0.1905	764.429	1173.560	male.coda
14	Spectrogram 1	1	324.793497044	325.203557452	686.1	1145.0	236.865	0.1361	775.195	1012.061	male.coda
15	Spectrogram 1	1	346.460142037	358.761954299	412.5	1582.7	613.696	8.7075	624.463	1238.159	great.call
16	Spectrogram 1	1	364.061196504	364.660515563	673.5	1330.2	452.197	0.1905	764.429	1216.626	male.coda
17	Spectrogram 1	1	364.755144888	365.039032864	745.1	1136.5	269.165	0.1361	796.729	1065.894	male.coda
18	Spectrogram 1	1	387.828525352	400.792742889	454.6	1582.7	613.696	8.5442	635.229	1248.926	great.call
19	Spectrogram 1	1	402.843044933	403.284648450	686.1	1342.8	376.831	0.1905	764.429	1141.260	male.coda
20	Spectrogram 1	1	403.379277775	403.726251967	740.9	1166.0	279.932	0.1361	807.495	1087.427	male.coda
21	Spectrogram 1	1	429.328782593	441.472879313	475.7	1557.5	645.996	8.1088	645.996	1291.992	great.call
22	Spectrogram 1	1	443.523181357	443.901698657	681.9	1326.0	452.197	0.2177	775.195	1227.393	male.coda
23	Spectrogram 1	1	444.027871091	444.280215958	761.9	1203.9	301.465	0.1633	829.028	1130.493	male.coda
24	Spectrogram 1	1	444.437931499	444.847991908	719.8	1102.9	226.099	0.2177	764.429	990.527	male.coda
25	Spectrogram 1	1	473.019085829	485.510156741	442.0	1528.0	613.696	9.9320	613.696	1227.393	great.call
26	Spectrogram 1	1	487.844346760	488.065148518	724.0	1363.9	355.298	0.1361	807.495	1162.793	male.coda
27	Spectrogram 1	1	488.222864060	488.538295144	761.9	1262.8	344.531	0.1905	839.795	1184.326	male.coda
28	Spectrogram 1	1	488.506752035	488.916812444	496.7	1220.7	484.497	0.2721	635.229	1119.727	male.coda
29	Spectrogram 1	1	520.108608551	534.239921098	391.5	1523.8	678.296	9.6327	613.696	1291.992	great.call
30	Spectrogram 1	1	535.659360974	536.100964491	711.4	1355.4	419.897	0.1633	807.495	1227.393	male.coda
31	Spectrogram 1	1	536.258680033	536.511024900	732.4	1224.9	322.998	0.1633	807.495	1130.493	male.coda
32	Spectrogram 1	1	536.668740442	537.078800850	732.4	1161.8	279.932	0.2177	796.729	1076.660	male.coda
33	Spectrogram 1	1	562.921840052	576.800807732	463.0	1528.0	624.463	8.5170	635.229	1259.692	great.call
34	Spectrogram 1	1	577.873273417	578.251790717	673.5	1397.5	495.264	0.1633	775.195	1270.459	male.coda
35	Spectrogram 1	1	578.377963151	578.661851126	740.9	1279.7	312.231	0.1905	850.562	1162.793	male.coda
36	Spectrogram 1	1	579.103454643	579.481971943	715.6	1170.2	290.698	0.1905	785.962	1076.660	male.coda
37	Spectrogram 1	1	578.693394234	579.071911535	724.0	1224.9	322.998	0.2449	807.495	1130.493	male.coda
38	Spectrogram 1	1	613.424587082	626.546520161	442.0	1544.9	645.996	9.2517	635.229	1281.226	great.call
39	Spectrogram 1	1	628.186761796	628.596822205	732.4	1397.5	452.197	0.1361	785.962	1238.159	male.coda
40	Spectrogram 1	1	628.722994638	629.038425722	761.9	1368.1	430.664	0.1633	818.262	1248.926	male.coda
41	Spectrogram 1	1	663.245656327	676.746106707	450.4	1498.6	613.696	8.2177	624.463	1238.159	great.call
42	Spectrogram 1	1	678.102460366	678.386348342	652.5	1405.9	462.964	0.1633	775.195	1238.159	male.coda
43	Spectrogram 1	1	678.480977667	678.796408750	736.6	1288.1	376.831	0.1088	807.495	1184.326	male.coda
44	Spectrogram 1	1	679.143382942	679.490357134	665.1	1199.7	236.865	0.1361	785.962	1022.827	male.coda
45	Spectrogram 1	1	723.955232756	738.086545302	463.0	1502.8	592.163	9.7959	602.930	1195.093	great.call
46	Spectrogram 1	1	740.736166405	741.146226814	703.0	1384.9	430.664	0.2177	785.962	1216.626	male.coda
47	Spectrogram 1	1	741.209313030	741.587830331	732.4	1279.7	322.998	0.1905	807.495	1130.493	male.coda
48	Spectrogram 1	1	781.056190926	793.768063597	429.4	1553.3	635.229	8.9524	592.163	1227.393	great.call
49	Spectrogram 1	1	796.196882941	796.512314024	715.6	1405.9	527.563	0.1633	764.429	1291.992	male.coda
50	Spectrogram 1	1	796.606943350	796.953917542	791.4	1368.1	441.431	0.2449	829.028	1270.459	male.coda
51	Spectrogram 1	1	796.985460650	797.206262408	707.2	1216.5	344.531	0.1633	764.429	1108.960	male.coda
52	Spectrogram 1	1	841.127902777	854.817611807	471.5	1498.6	624.463	10.0408	624.463	1248.926	great.call
53	Spectrogram 1	1	897.931401455	911.904998461	420.9	1464.9	538.330	9.1156	624.463	1162.793	great.call
54	Spectrogram 1	1	915.374740381	915.816343898	715.6	1414.4	495.264	0.1633	796.729	1291.992	male.coda
55	Spectrogram 1	1	915.879430114	916.321033631	757.7	1170.2	312.231	0.2721	796.729	1108.960	male.coda
56	Spectrogram 1	1	916.321033631	917.078068232	770.3	1199.7	344.531	0.4082	807.495	1152.026	male.coda
57	Spectrogram 1	1	963.428961751	975.541515363	345.2	1439.6	538.330	8.8980	613.696	1152.026	great.call
58	Spectrogram 1	1	977.970334707	978.506567549	728.2	1384.9	462.964	0.2177	796.729	1259.692	male.coda
59	Spectrogram 1	1	978.569653766	978.885084849	774.5	1237.6	312.231	0.1905	839.795	1152.026	male.coda
60	Spectrogram 1	1	978.916627958	979.168972825	770.3	1140.8	247.632	0.1905	818.262	1065.894	male.coda
61	Spectrogram 1	1	979.358231475	979.736748775	686.1	1014.5	226.099	0.2993	732.129	958.228	male.coda
