Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	6.763723387	20.868929730	438.800	1595.600	602.930	9.1951	602.930	1205.859	great.call
2	Spectrogram 1	1	22.993817350	23.418794870	609.800	1253.700	344.531	0.1567	775.195	1119.727	male.coda
3	Spectrogram 1	1	23.638767130	24.104218700	632.600	1134.000	344.531	0.2032	689.062	1033.594	male.coda
4	Spectrogram 1	1	24.367300020	24.751803500	644.000	1196.700	344.531	0.1219	775.195	1119.727	male.coda
5	Spectrogram 1	1	67.577818570	83.099616650	461.600	1589.900	689.062	9.9498	602.930	1291.992	great.call
6	Spectrogram 1	1	85.550218730	86.015670300	644.000	1242.300	344.531	0.1974	775.195	1119.727	male.coda
7	Spectrogram 1	1	86.258514600	86.723966170	683.800	1094.200	344.531	0.2090	689.062	1033.594	male.coda
8	Spectrogram 1	1	153.916611800	167.718262800	433.100	1681.100	602.930	8.7133	602.930	1205.859	great.call
9	Spectrogram 1	1	169.539595000	170.065757600	649.700	1259.400	430.664	0.1858	689.062	1119.727	male.coda
10	Spectrogram 1	1	170.389550000	170.855001600	689.500	1145.400	258.398	0.1741	775.195	1033.594	male.coda
11	Spectrogram 1	1	218.750683100	235.223621400	359.000	1732.400	602.930	9.7756	602.930	1205.859	great.call
12	Spectrogram 1	1	235.654451800	236.079429300	626.900	1168.200	430.664	0.2380	689.062	1119.727	male.coda
13	Spectrogram 1	1	236.180614400	236.686540000	678.100	1071.400	172.266	0.2206	775.195	947.461	male.coda
14	Spectrogram 1	1	237.050806500	237.354361800	706.600	1225.200	344.531	0.1509	775.195	1119.727	male.coda
15	Spectrogram 1	1	305.005267200	319.899717600	438.800	1698.200	602.930	10.2342	602.930	1205.859	great.call
16	Spectrogram 1	1	321.292141500	321.575459800	592.700	1151.100	344.531	0.1509	689.062	1033.594	male.coda
17	Spectrogram 1	1	321.818304100	322.202807600	592.700	1116.900	344.531	0.1277	689.062	1033.594	male.coda
18	Spectrogram 1	1	370.284552800	386.211091400	444.500	1624.100	602.930	11.0469	602.930	1205.859	great.call
19	Spectrogram 1	1	390.056752400	390.542441000	598.400	1208.100	430.664	0.0987	689.062	1119.727	male.coda
20	Spectrogram 1	1	390.744811300	391.028129600	621.200	1145.400	344.531	0.0871	689.062	1033.594	male.coda
21	Spectrogram 1	1	472.589019700	488.212002900	336.200	1618.400	602.930	10.6231	602.930	1205.859	great.call
22	Spectrogram 1	1	489.588120600	489.992861100	569.900	1168.200	344.531	0.1567	689.062	1033.594	male.coda
23	Spectrogram 1	1	490.336890600	490.660683000	649.700	1122.600	258.398	0.1393	775.195	1033.594	male.coda
25	Spectrogram 1	1	601.913133000	615.654072900	404.600	1390.500	516.797	7.7961	602.930	1119.727	great.call
26	Spectrogram 1	1	616.706398200	617.030190600	547.100	1122.600	344.531	0.1974	689.062	1033.594	male.coda
27	Spectrogram 1	1	617.287375600	617.752827100	644.000	1060.000	172.266	0.1858	775.195	947.461	male.coda
