Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	40.239337608	57.302415574	464.3	1708.5	667.529	13.6054	581.396	1248.926	great.call
2	Spectrogram 1	1	80.427633292	97.827684072	452.4	1607.3	656.763	12.8707	570.630	1227.393	great.call
3	Spectrogram 1	1	120.070898672	136.827637715	386.9	1619.2	742.896	13.0612	581.396	1324.292	great.call
4	Spectrogram 1	1	157.097945493	174.222291243	386.9	1660.9	699.829	12.4626	581.396	1281.226	great.call
5	Spectrogram 1	1	194.326670538	211.573551857	416.7	1500.2	732.129	15.2109	570.630	1302.759	great.call
6	Spectrogram 1	1	236.629126576	253.447133403	440.5	1583.5	721.362	12.1361	581.396	1302.759	great.call
7	Spectrogram 1	1	280.841957744	297.598696787	404.8	1583.5	602.930	11.5918	592.163	1195.093	great.call
8	Spectrogram 1	1	324.945433668	342.192314986	440.5	1738.3	667.529	13.6599	581.396	1248.926	great.call
9	Spectrogram 1	1	368.429431178	384.542858484	410.8	1541.8	635.229	13.0884	581.396	1216.626	great.call
10	Spectrogram 1	1	406.957538718	423.622376084	375.0	1494.2	495.264	11.6735	581.396	1076.660	great.call
11	Spectrogram 1	1	453.847856229	468.613392278	416.7	1637.1	699.829	12.5442	570.630	1270.459	great.call
12	Spectrogram 1	1	492.945248699	508.170293131	404.8	1529.9	656.763	11.9184	570.630	1227.393	great.call
13	Spectrogram 1	1	508.752337083	509.058676005	642.9	1012.0	215.332	0.1633	667.529	882.861	male.coda
14	Spectrogram 1	1	509.303747143	509.640719958	678.6	982.2	161.499	0.2177	775.195	936.694	male.coda
15	Spectrogram 1	1	536.086736244	552.353333012	398.9	1571.6	667.529	13.7143	559.863	1227.393	great.call
16	Spectrogram 1	1	553.027278640	553.548054808	642.9	1238.2	430.664	0.2721	721.362	1152.026	male.coda
17	Spectrogram 1	1	553.517420916	554.038197084	762.0	1101.3	161.499	0.2449	829.028	990.527	male.coda
18	Spectrogram 1	1	576.771132657	593.619773376	410.8	1613.3	645.996	13.7415	581.396	1227.393	great.call
