Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	65.699843423	76.241724455	555.6	1490.1	656.763	7.4558	656.763	1313.525	great.call
2	Spectrogram 1	1	77.419274995	77.718335450	698.8	1195.5	258.398	0.1633	807.495	1065.894	male.coda
3	Spectrogram 1	1	77.867865677	78.148234854	749.3	1220.7	322.998	0.1361	818.262	1141.260	male.coda
4	Spectrogram 1	1	78.222999968	78.522060422	707.2	1271.2	387.598	0.1361	818.262	1205.859	male.coda
5	Spectrogram 1	1	78.765047042	79.120181332	732.4	1161.8	279.932	0.1361	796.729	1076.660	male.coda
6	Spectrogram 1	1	128.511846650	138.698593391	580.9	1565.9	656.763	7.0204	678.296	1335.059	great.call
7	Spectrogram 1	1	139.707922426	140.006982880	724.0	1330.2	398.364	0.1633	850.562	1248.926	male.coda
8	Spectrogram 1	1	140.100439272	140.418191006	749.3	1271.2	344.531	0.1633	861.328	1205.859	male.coda
9	Spectrogram 1	1	140.455573562	140.848090409	724.0	1380.7	430.664	0.1633	861.328	1291.992	male.coda
10	Spectrogram 1	1	140.960238080	141.221915978	715.6	1304.9	355.298	0.1361	872.095	1227.393	male.coda
11	Spectrogram 1	1	3.158826054	12.205404811	555.6	1515.4	678.296	7.1565	667.529	1345.825	great.call
12	Spectrogram 1	1	14.242754159	14.653962284	690.3	1060.8	183.032	0.1633	796.729	979.761	male.coda
13	Spectrogram 1	1	14.878257625	15.083861688	681.9	1102.9	236.865	0.0816	796.729	1033.594	male.coda
14	Spectrogram 1	1	15.270774472	15.719365155	673.5	1262.8	355.298	0.1633	807.495	1162.793	male.coda
