Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	164.833661384	177.503662001	502.4	2849.8	441.431	7.9184	656.763	1098.193	great.call
2	Spectrogram 1	1	178.563074959	178.939540141	632.3	2659.3	570.630	0.2177	753.662	1324.292	male.coda
3	Spectrogram 1	1	179.028352732	179.276195120	580.4	2624.6	527.563	0.1905	807.495	1335.059	male.coda
4	Spectrogram 1	1	179.303733163	179.634189680	580.4	2330.1	344.531	0.2177	807.495	1152.026	male.coda
5	Spectrogram 1	1	179.762700548	180.166591847	606.3	2312.8	355.298	0.1905	753.662	1108.960	male.coda
6	Spectrogram 1	1	231.829377124	243.421908426	528.4	2927.8	592.163	7.7279	667.529	1259.692	great.call
7	Spectrogram 1	1	244.393733287	244.900014049	615.0	2650.6	559.863	0.1905	710.596	1270.459	male.coda
8	Spectrogram 1	1	244.951940281	245.185608325	632.3	2719.9	559.863	0.1633	775.195	1335.059	male.coda
9	Spectrogram 1	1	245.263497674	245.601018182	658.3	2659.3	473.730	0.1633	818.262	1291.992	male.coda
10	Spectrogram 1	1	245.704870646	246.133262060	658.3	2399.4	473.730	0.1361	764.429	1238.159	male.coda
11	Spectrogram 1	1	308.238063403	320.155133655	459.1	2867.1	667.529	8.2449	656.763	1324.292	great.call
12	Spectrogram 1	1	321.034295845	321.475668817	606.3	2693.9	538.330	0.1633	753.662	1291.992	male.coda
13	Spectrogram 1	1	321.527595049	321.800207768	667.0	2685.2	506.030	0.1905	829.028	1335.059	male.coda
14	Spectrogram 1	1	321.800207768	322.163691392	667.0	2650.6	506.030	0.1905	839.795	1345.825	male.coda
15	Spectrogram 1	1	322.254562298	322.501211900	649.7	2590.0	473.730	0.1088	807.495	1281.226	male.coda
16	Spectrogram 1	1	434.134078131	445.635738526	528.4	2867.1	570.630	6.4218	667.529	1238.159	great.call
17	Spectrogram 1	1	446.308987665	446.737379080	606.3	2719.9	538.330	0.1361	753.662	1291.992	male.coda
18	Spectrogram 1	1	446.763342196	446.984028682	675.6	2754.5	527.563	0.1361	818.262	1345.825	male.coda
19	Spectrogram 1	1	447.035954914	447.308567632	658.3	2780.5	506.030	0.1361	829.028	1335.059	male.coda
20	Spectrogram 1	1	447.412420096	447.710995930	719.0	2728.5	527.563	0.1361	839.795	1367.358	male.coda
