Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	18.034931016	27.395180865	467.246	1561.696	613.696	6.6939	656.763	1270.459	great.call
2	Spectrogram 1	1	28.666241534	28.967091358	669.298	900.817	129.199	0.0816	710.596	839.795	male.coda
3	Spectrogram 1	1	28.985894472	29.286744297	677.717	1052.356	215.332	0.1633	742.896	958.228	male.coda
4	Spectrogram 1	1	29.343153639	29.512381666	719.811	1086.031	193.799	0.1088	796.729	990.527	male.coda
5	Spectrogram 1	1	29.549987894	29.738019034	702.974	1039.728	204.565	0.1088	764.429	968.994	male.coda
6	Spectrogram 1	1	29.944853288	30.170490657	677.717	1031.309	204.565	0.1088	753.662	958.228	male.coda
7	Spectrogram 1	1	30.358521797	30.565356052	728.230	1018.680	183.032	0.1088	785.962	968.994	male.coda
8	Spectrogram 1	1	30.847402762	31.016630789	719.811	1035.518	215.332	0.1088	753.662	968.994	male.coda
9	Spectrogram 1	1	65.274404297	75.277660966	484.084	1595.371	527.563	6.2585	667.529	1195.093	great.call
10	Spectrogram 1	1	75.841754387	76.029785527	644.042	1035.518	193.799	0.1088	764.429	958.228	male.coda
11	Spectrogram 1	1	76.180210440	76.387044694	715.602	1014.471	183.032	0.1088	753.662	936.694	male.coda
12	Spectrogram 1	1	113.825008250	123.922280488	446.199	1603.790	559.863	6.5306	656.763	1216.626	great.call
13	Spectrogram 1	1	125.840198120	126.197457287	475.665	926.073	183.032	0.1633	699.829	882.861	male.coda
14	Spectrogram 1	1	126.216260401	126.836763164	622.995	1300.712	279.932	0.4354	699.829	979.761	male.coda
15	Spectrogram 1	1	126.836763164	127.062400533	618.785	1275.455	322.998	0.1633	710.596	1033.594	male.coda
16	Spectrogram 1	1	127.212825445	127.382053471	627.204	1267.036	333.765	0.1361	710.596	1044.360	male.coda
17	Spectrogram 1	1	127.476069042	127.739312638	656.670	1300.712	387.598	0.1361	721.362	1108.960	male.coda
18	Spectrogram 1	1	163.314946675	174.295965274	471.455	1666.932	516.797	7.4286	645.996	1162.793	great.call
19	Spectrogram 1	1	174.954074265	175.104499177	656.670	1048.146	161.499	0.1088	753.662	915.161	male.coda
20	Spectrogram 1	1	175.254924089	175.424152116	686.136	955.539	161.499	0.1088	753.662	915.161	male.coda
21	Spectrogram 1	1	226.618660998	236.885161263	391.476	1553.277	581.396	7.0204	645.996	1227.393	great.call
22	Spectrogram 1	1	237.411648456	237.693695166	694.555	1001.843	161.499	0.1361	753.662	915.161	male.coda
23	Spectrogram 1	1	237.825316965	238.013348105	686.136	1069.194	150.732	0.0816	796.729	947.461	male.coda
24	Spectrogram 1	1	238.107363675	238.314197930	702.974	1014.471	183.032	0.1361	753.662	936.694	male.coda
25	Spectrogram 1	1	238.464622842	238.671457096	707.183	1027.099	193.799	0.1361	764.429	958.228	male.coda
26	Spectrogram 1	1	287.514755495	297.706043304	395.686	1481.717	495.264	6.6395	656.763	1152.026	great.call
27	Spectrogram 1	1	298.552183435	298.890639488	656.670	1001.843	150.732	0.1088	753.662	904.395	male.coda
28	Spectrogram 1	1	349.767137889	360.466109777	345.173	1591.162	527.563	6.6122	667.529	1195.093	great.call
29	Spectrogram 1	1	361.425068593	361.631902847	631.414	1069.194	161.499	0.1088	775.195	936.694	male.coda
30	Spectrogram 1	1	361.669509076	361.895146444	791.372	1161.801	236.865	0.1088	796.729	1033.594	male.coda
31	Spectrogram 1	1	432.633510542	441.208140590	454.618	1570.115	570.630	6.9388	656.763	1227.393	great.call
