Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	1.721621787	17.495981414	507.186	1384.790	473.730	12.3537	645.996	1119.727	great.call
2	Spectrogram 1	1	80.022049730	94.096307842	529.981	1390.488	473.730	10.4762	656.763	1130.493	great.call
3	Spectrogram 1	1	174.824014170	190.361650801	507.186	1322.104	441.431	11.1293	667.529	1108.960	great.call
4	Spectrogram 1	1	192.676652007	192.999456093	626.859	945.988	107.666	0.0544	742.896	850.562	male.coda
5	Spectrogram 1	1	193.257699361	193.494422356	752.231	974.482	96.899	0.0544	775.195	872.095	male.coda
6	Spectrogram 1	1	193.795706169	194.053949437	700.943	1037.167	118.433	0.0816	775.195	893.628	male.coda
7	Spectrogram 1	1	194.140030527	194.656517063	604.065	1054.264	215.332	0.2721	667.529	882.861	male.coda
8	Spectrogram 1	1	194.505875156	195.000841420	649.654	723.738	53.833	0.1633	656.763	710.596	male.coda
9	Spectrogram 1	1	270.051789953	285.847669852	547.077	1299.309	419.897	10.7755	678.296	1098.193	great.call
10	Spectrogram 1	1	288.173472052	288.453235592	678.148	1236.623	215.332	0.1088	807.495	1022.827	male.coda
11	Spectrogram 1	1	288.517796409	288.776039677	814.917	1054.264	96.899	0.0816	872.095	968.994	male.coda
12	Spectrogram 1	1	289.658370843	290.131816835	547.077	968.783	193.799	0.2177	710.596	904.395	male.coda
13	Spectrogram 1	1	289.314046486	289.550769482	609.763	997.276	172.266	0.1361	742.896	915.161	male.coda
14	Spectrogram 1	1	288.582357226	289.227965397	592.667	1008.674	172.266	0.5170	785.962	958.228	male.coda
15	Spectrogram 1	1	507.394134476	524.222987448	512.885	1327.802	441.431	12.4082	667.529	1108.960	great.call
16	Spectrogram 1	1	525.600366149	525.901649962	786.424	1128.347	161.499	0.1361	861.328	1022.827	male.coda
17	Spectrogram 1	1	526.073812141	526.245974319	775.026	1065.661	204.565	0.1361	775.195	979.761	male.coda
18	Spectrogram 1	1	791.712415633	806.324680553	490.090	1356.296	462.964	11.0748	656.763	1119.727	great.call
19	Spectrogram 1	1	807.745018528	808.153903702	592.667	1156.841	215.332	0.0816	764.429	979.761	male.coda
20	Spectrogram 1	1	808.175423975	808.390626698	723.738	1031.469	107.666	0.1088	829.028	936.694	male.coda
21	Spectrogram 1	1	808.455187515	808.670390239	752.231	1082.757	139.966	0.0816	818.262	958.228	male.coda
22	Spectrogram 1	1	808.821032145	809.014714596	655.353	1173.937	290.698	0.1633	818.262	1108.960	male.coda
