Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	13.077407577	23.468644949	538.806	1376.481	312.231	5.9592	667.529	979.761	great.call
2	Spectrogram 1	1	24.248892056	24.915351413	618.785	934.492	290.698	0.2449	635.229	925.928	male.coda
3	Spectrogram 1	1	24.715413606	25.048643284	883.979	1060.775	129.199	0.2177	893.628	1022.827	male.coda
4	Spectrogram 1	1	51.338172992	61.268417411	547.225	1372.272	506.030	6.2585	667.529	1173.560	great.call
5	Spectrogram 1	1	62.268106446	62.601336125	644.042	989.215	247.632	0.1905	710.596	958.228	male.coda
6	Spectrogram 1	1	85.764988318	95.695232736	559.853	1414.366	452.197	5.9592	667.529	1119.727	great.call
7	Spectrogram 1	1	97.340104045	97.773302627	622.995	921.864	139.966	0.1905	721.362	861.328	male.coda
8	Spectrogram 1	1	97.806625595	98.139855273	740.859	1069.194	161.499	0.2449	785.962	947.461	male.coda
9	Spectrogram 1	1	121.284063521	132.247319943	565.828	1395.709	419.897	6.5306	667.529	1087.427	great.call
10	Spectrogram 1	1	134.579927692	135.113095178	595.167	1110.699	333.765	0.2449	689.062	1022.827	male.coda
11	Spectrogram 1	1	135.113095178	135.446324856	729.289	1039.447	161.499	0.1361	796.729	958.228	male.coda
12	Spectrogram 1	1	135.546293760	136.079461246	729.289	984.960	96.899	0.3265	829.028	925.928	male.coda
13	Spectrogram 1	1	174.116286945	183.046842328	540.680	1290.926	247.632	4.8435	667.529	915.161	great.call
14	Spectrogram 1	1	184.446406978	184.712990721	674.802	926.281	172.266	0.1633	699.829	872.095	male.coda
15	Spectrogram 1	1	184.846282592	185.046220399	758.629	1001.725	118.433	0.1633	807.495	925.928	male.coda
16	Spectrogram 1	1	210.168530165	221.031817684	557.445	1337.031	301.465	6.0952	667.529	968.994	great.call
17	Spectrogram 1	1	223.431071369	223.997561822	616.124	1119.082	301.465	0.2721	710.596	1012.061	male.coda
18	Spectrogram 1	1	224.064207758	224.330791500	712.524	1052.021	172.266	0.1088	796.729	968.994	male.coda
19	Spectrogram 1	1	224.364114468	225.130542729	758.629	997.534	107.666	0.3265	829.028	936.694	male.coda
20	Spectrogram 1	1	267.212409991	278.708833899	519.723	1353.796	387.598	8.4626	667.529	1055.127	great.call
21	Spectrogram 1	1	279.675199966	280.175044484	637.080	959.812	236.865	0.1633	710.596	947.461	male.coda
22	Spectrogram 1	1	280.008429645	281.008118680	678.994	1060.404	215.332	0.6803	775.195	990.527	male.coda
23	Spectrogram 1	1	281.241379455	281.874515844	653.846	938.855	193.799	0.1905	721.362	915.161	male.coda
24	Spectrogram 1	1	313.047726205	323.277877335	532.297	1357.987	441.431	7.4830	667.529	1108.960	great.call
25	Spectrogram 1	1	324.910702759	325.377224309	624.506	1077.169	226.099	0.1361	732.129	958.228	male.coda
26	Spectrogram 1	1	325.410547277	325.643808052	737.672	1056.212	172.266	0.0816	807.495	979.761	male.coda
27	Spectrogram 1	1	359.143603485	367.707606222	498.767	1328.648	419.897	5.9592	667.529	1087.427	great.call
28	Spectrogram 1	1	370.006891004	370.373443650	586.785	938.855	183.032	0.2177	689.062	872.095	male.coda
29	Spectrogram 1	1	370.306797714	370.706673329	817.307	1060.404	172.266	0.2993	829.028	1001.294	male.coda
30	Spectrogram 1	1	399.427405337	411.190412988	540.680	1353.796	322.998	6.8571	678.296	1001.294	great.call
31	Spectrogram 1	1	413.456374802	413.889573384	603.550	947.238	204.565	0.2177	667.529	872.095	male.coda
32	Spectrogram 1	1	413.956219319	414.589355708	767.011	980.769	96.899	0.5170	829.028	925.928	male.coda
33	Spectrogram 1	1	475.137253266	486.567031238	461.045	1278.352	355.298	7.6190	667.529	1022.827	great.call
34	Spectrogram 1	1	489.032930859	489.466129441	649.654	1152.613	344.531	0.2449	689.062	1033.594	male.coda
35	Spectrogram 1	1	522.425359328	534.588242592	461.045	1366.370	366.064	8.2449	678.296	1044.360	great.call
36	Spectrogram 1	1	535.721223499	536.254390985	616.124	943.047	172.266	0.1088	689.062	861.328	male.coda
37	Spectrogram 1	1	536.287713953	536.754235502	729.289	1031.064	161.499	0.1633	775.195	936.694	male.coda
38	Spectrogram 1	1	536.854204406	537.487340795	708.333	989.151	129.199	0.4626	807.495	936.694	male.coda
