Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	9.073415224	21.543296040	535.680	1356.296	419.897	7.9456	678.296	1098.193	great.call
2	Spectrogram 1	1	44.539963355	55.699778871	472.994	1401.886	462.964	8.6531	667.529	1130.493	great.call
3	Spectrogram 1	1	93.297073213	104.044460764	484.391	1390.488	473.730	8.2721	678.296	1152.026	great.call
4	Spectrogram 1	1	131.319884808	142.382658450	472.994	1447.475	473.730	7.6735	689.062	1162.793	great.call
5	Spectrogram 1	1	144.116322798	144.358927484	507.186	718.039	64.600	0.0272	592.163	656.763	male.coda
6	Spectrogram 1	1	144.431708889	144.868397322	495.789	775.026	64.600	0.1088	624.463	689.062	male.coda
7	Spectrogram 1	1	144.844136854	145.305085756	495.789	797.821	129.199	0.1088	581.396	710.596	male.coda
8	Spectrogram 1	1	145.280825287	145.693253252	529.981	695.244	43.066	0.1088	602.930	645.996	male.coda
9	Spectrogram 1	1	171.941500418	182.591846095	501.488	1390.488	484.497	8.2449	678.296	1162.793	great.call
