Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	33.359595187	43.659205391	535.680	1413.283	441.431	7.9456	678.296	1119.727	great.call
2	Spectrogram 1	1	45.078956101	45.575519116	575.571	1037.167	193.799	0.2177	699.829	893.628	male.coda
3	Spectrogram 1	1	45.811977695	46.261248994	689.545	934.590	139.966	0.1361	721.362	861.328	male.coda
4	Spectrogram 1	1	46.213957278	46.450415857	598.366	843.411	86.133	0.1361	656.763	742.896	male.coda
5	Spectrogram 1	1	104.666921594	115.212974197	484.391	1384.790	441.431	6.9388	678.296	1119.727	great.call
6	Spectrogram 1	1	116.773600815	117.151934541	643.956	1037.167	183.032	0.1633	753.662	936.694	male.coda
7	Spectrogram 1	1	116.206100227	116.702663242	643.956	894.699	129.199	0.1361	689.062	818.262	male.coda
8	Spectrogram 1	1	117.057351110	117.695789272	638.257	763.629	43.066	0.2721	678.296	721.362	male.coda
9	Spectrogram 1	1	170.178341626	180.795331803	512.885	1390.488	409.131	7.0476	678.296	1087.427	great.call
10	Spectrogram 1	1	181.906687122	182.308666705	643.956	894.699	150.732	0.0816	667.529	818.262	male.coda
11	Spectrogram 1	1	182.285020847	182.545125284	797.821	997.276	118.433	0.1361	818.262	936.694	male.coda
12	Spectrogram 1	1	182.568771142	183.088980014	649.654	803.520	75.366	0.2177	699.829	775.195	male.coda
13	Spectrogram 1	1	183.065334157	183.443667882	581.270	752.231	86.133	0.1361	635.229	721.362	male.coda
14	Spectrogram 1	1	233.987259893	245.100813084	524.282	1424.681	452.197	7.2109	689.062	1141.260	great.call
15	Spectrogram 1	1	249.060992089	249.415679957	626.859	792.122	96.899	0.0816	656.763	753.662	male.coda
16	Spectrogram 1	1	249.226513094	249.581200962	797.821	968.783	107.666	0.0816	839.795	947.461	male.coda
17	Spectrogram 1	1	249.817659541	250.006826403	700.943	980.180	129.199	0.1361	775.195	904.395	male.coda
18	Spectrogram 1	1	295.709514901	305.215149759	484.391	1396.187	430.664	7.2653	678.296	1108.960	great.call
19	Spectrogram 1	1	307.035880813	307.579735544	598.366	1059.962	183.032	0.1633	775.195	958.228	male.coda
20	Spectrogram 1	1	307.556089686	307.981715128	700.943	991.578	129.199	0.1088	785.962	915.161	male.coda
21	Spectrogram 1	1	353.468174836	363.281205845	579.575	1363.706	387.598	6.8299	678.296	1065.894	great.call
22	Spectrogram 1	1	366.851730381	367.064543102	613.668	909.137	172.266	0.0544	678.296	850.562	male.coda
23	Spectrogram 1	1	367.040897244	367.371939254	772.767	1011.415	139.966	0.0272	839.795	979.761	male.coda
24	Spectrogram 1	1	367.513814401	367.702981264	556.847	965.958	161.499	0.0816	742.896	904.395	male.coda
25	Spectrogram 1	1	418.632275406	430.147808181	528.436	1397.799	452.197	7.1837	689.062	1141.260	great.call
26	Spectrogram 1	1	432.772498403	433.339998992	505.708	1028.462	204.565	0.1088	710.596	915.161	male.coda
27	Spectrogram 1	1	433.387290707	433.671041002	647.760	926.184	129.199	0.1088	742.896	872.095	male.coda
28	Spectrogram 1	1	433.789270291	434.002083012	670.489	926.184	118.433	0.0816	721.362	839.795	male.coda
29	Spectrogram 1	1	434.049374727	434.640521174	522.754	784.131	75.366	0.1905	645.996	721.362	male.coda
