Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	10.448995302	24.263862907	446.477	1470.397	549.097	9.9864	602.930	1152.026	great.call
5	Spectrogram 1	1	54.364809406	67.233754547	511.960	1553.739	635.229	10.1224	602.930	1238.159	great.call
8	Spectrogram 1	1	94.906744226	108.105662319	458.383	1589.457	581.396	7.7279	613.696	1195.093	great.call
11	Spectrogram 1	1	139.639261200	151.650276665	434.571	1476.350	495.264	8.4082	602.930	1098.193	great.call
14	Spectrogram 1	1	178.528711332	191.155676308	523.866	1589.457	506.030	8.7347	602.930	1108.960	great.call
17	Spectrogram 1	1	221.996257649	236.163096403	404.806	1529.927	516.797	9.9864	602.930	1119.727	great.call
20	Spectrogram 1	1	265.232896257	278.695792712	422.665	1410.867	549.097	9.7143	613.696	1162.793	great.call
24	Spectrogram 1	1	320.287956072	335.026747943	446.477	1506.115	452.197	9.1156	602.930	1055.127	great.call
27	Spectrogram 1	1	365.001242963	378.508135812	464.336	1654.941	559.863	9.6871	602.930	1162.793	great.call
30	Spectrogram 1	1	408.622776658	422.481640656	422.665	1643.035	613.696	8.7347	602.930	1216.626	great.call
34	Spectrogram 1	1	456.916233404	470.489120843	458.383	1619.222	506.030	9.6871	613.696	1119.727	great.call
38	Spectrogram 1	1	505.985015569	519.117939072	434.571	1488.256	559.863	9.1973	602.930	1162.793	great.call
42	Spectrogram 1	1	555.425147154	567.722139178	446.477	1523.974	506.030	8.7619	602.930	1108.960	great.call
46	Spectrogram 1	1	600.888992663	614.307892725	458.383	1762.095	559.863	9.3333	613.696	1173.560	great.call
49	Spectrogram 1	1	650.337280893	663.536198987	428.618	1559.692	484.497	8.6803	602.930	1087.427	great.call
53	Spectrogram 1	1	698.501517063	712.492370243	440.524	1577.551	549.097	9.6327	602.930	1152.026	great.call
57	Spectrogram 1	1	755.008309680	769.087155647	470.289	1648.988	527.563	9.6327	613.696	1141.260	great.call
62	Spectrogram 1	1	804.987322748	819.594125438	494.101	1613.269	506.030	8.8163	602.930	1108.960	great.call
65	Spectrogram 1	1	851.870127275	864.277110283	422.665	1696.612	495.264	7.6463	602.930	1098.193	great.call
70	Spectrogram 1	1	902.745529693	917.286337793	482.195	1434.679	409.131	6.9660	602.930	1012.061	great.call
75	Spectrogram 1	1	960.456685925	974.051571561	416.712	1470.397	473.730	8.6803	602.930	1076.660	great.call
