Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	25.353273322	35.775279904	410.759	1643.035	581.396	7.0204	656.763	1238.159	great.call
2	Spectrogram 1	1	36.596947773	36.845210112	595.302	839.376	129.199	0.1088	645.996	775.195	male.coda
3	Spectrogram 1	1	36.923608745	37.119605328	714.363	976.296	172.266	0.1088	742.896	915.161	male.coda
4	Spectrogram 1	1	37.171871083	37.328668350	607.208	839.376	107.666	0.0816	689.062	796.729	male.coda
5	Spectrogram 1	1	37.446266300	37.720661516	589.349	827.470	118.433	0.1088	667.529	785.962	male.coda
6	Spectrogram 1	1	85.302729630	96.670531454	351.228	1577.551	602.930	7.9728	624.463	1227.393	great.call
7	Spectrogram 1	1	97.585182176	97.846510953	666.739	1059.638	193.799	0.1088	764.429	958.228	male.coda
8	Spectrogram 1	1	97.872643831	98.094773292	690.551	928.672	129.199	0.1088	732.129	861.328	male.coda
9	Spectrogram 1	1	174.450167577	185.452109113	327.416	1583.504	581.396	7.2653	645.996	1227.393	great.call
10	Spectrogram 1	1	186.224496871	186.459692771	726.269	970.343	139.966	0.1361	732.129	872.095	male.coda
11	Spectrogram 1	1	186.577290721	186.760220865	631.021	1000.108	172.266	0.1088	742.896	915.161	male.coda
12	Spectrogram 1	1	229.481750050	239.542907986	363.134	1690.659	581.396	7.4286	645.996	1227.393	great.call
13	Spectrogram 1	1	240.009834765	240.310362859	648.880	1006.061	172.266	0.1088	742.896	915.161	male.coda
14	Spectrogram 1	1	240.310362859	240.558625198	589.349	881.048	107.666	0.1088	699.829	807.495	male.coda
15	Spectrogram 1	1	240.610890953	241.329545091	619.114	809.611	53.833	0.4626	678.296	732.129	male.coda
16	Spectrogram 1	1	241.394877286	241.826069769	642.927	928.672	118.433	0.2177	721.362	839.795	male.coda
17	Spectrogram 1	1	242.022066352	242.283395130	654.833	1184.652	258.398	0.0816	742.896	1001.294	male.coda
18	Spectrogram 1	1	284.271559539	294.633245569	410.759	1523.974	602.930	6.5578	667.529	1270.459	great.call
19	Spectrogram 1	1	295.082261044	295.879313815	523.866	851.282	43.066	0.4354	699.829	742.896	male.coda
20	Spectrogram 1	1	296.036111082	296.807030976	648.880	916.766	107.666	0.5170	721.362	829.028	male.coda
21	Spectrogram 1	1	368.009579811	377.665678142	386.947	1720.424	581.396	6.7755	656.763	1238.159	great.call
22	Spectrogram 1	1	378.380955280	378.603084741	613.161	857.235	86.133	0.0272	678.296	764.429	male.coda
23	Spectrogram 1	1	378.733749130	378.929745713	720.316	1029.873	161.499	0.0816	764.429	925.928	male.coda
24	Spectrogram 1	1	379.073476540	379.334805318	619.114	1107.262	215.332	0.0816	775.195	990.527	male.coda
25	Spectrogram 1	1	379.374004635	379.596134096	410.759	964.390	301.465	0.1361	570.630	872.095	male.coda
26	Spectrogram 1	1	379.622266973	380.340921112	517.913	940.578	64.600	0.4354	678.296	742.896	\
27	Spectrogram 1	1	424.793621271	434.802513451	363.134	1708.518	624.463	7.3197	645.996	1270.459	great.call
