Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	1.875889195	17.526964719	482.195	1315.618	473.730	12.3537	645.996	1119.727	great.call
2	Spectrogram 1	1	79.671301497	94.118448134	488.148	1303.712	473.730	10.5306	656.763	1130.493	great.call
3	Spectrogram 1	1	174.863423270	190.514498793	506.007	1363.242	441.431	11.1293	667.529	1108.960	great.call
4	Spectrogram 1	1	192.530379719	193.090346643	642.927	940.578	107.666	0.0544	742.896	850.562	male.coda
5	Spectrogram 1	1	193.230338374	193.482323490	744.128	976.296	96.899	0.0544	775.195	872.095	male.coda
6	Spectrogram 1	1	193.874300337	194.210280491	666.739	970.343	129.199	0.0816	764.429	893.628	male.coda
7	Spectrogram 1	1	194.210280491	194.630255684	559.584	1012.014	215.332	0.2449	678.296	893.628	male.coda
8	Spectrogram 1	1	270.144985906	285.600073006	523.866	1273.947	419.897	10.7755	678.296	1098.193	great.call
9	Spectrogram 1	1	288.119924164	288.427905972	732.222	1184.652	215.332	0.0816	807.495	1022.827	male.coda
10	Spectrogram 1	1	288.567897703	288.847881165	785.799	1089.403	96.899	0.0816	872.095	968.994	male.coda
11	Spectrogram 1	1	288.763886126	289.239858012	613.161	1000.108	193.799	0.1633	742.896	936.694	male.coda
12	Spectrogram 1	1	289.351851397	289.715829897	678.645	988.202	172.266	0.1361	742.896	915.161	male.coda
13	Spectrogram 1	1	289.687831551	290.079808398	601.255	1000.108	193.799	0.1361	710.596	904.395	male.coda
14	Spectrogram 1	1	349.737737832	364.408871239	464.336	1315.618	452.197	10.0952	667.529	1119.727	great.call
15	Spectrogram 1	1	366.704735627	366.928722397	678.645	1035.826	139.966	0.1088	764.429	904.395	male.coda
16	Spectrogram 1	1	366.984719089	367.404694282	767.940	976.296	86.133	0.1361	829.028	915.161	male.coda
17	Spectrogram 1	1	367.488689321	367.712676090	750.081	1101.309	139.966	0.0816	818.262	958.228	male.coda
18	Spectrogram 1	1	367.712676090	368.104652937	607.208	1089.403	204.565	0.1905	721.362	925.928	male.coda
19	Spectrogram 1	1	368.216646322	368.692618207	654.833	994.155	172.266	0.2449	721.362	893.628	male.coda
20	Spectrogram 1	1	368.636621515	368.916604977	565.537	869.141	139.966	0.1633	667.529	807.495	male.coda
21	Spectrogram 1	1	507.399670389	524.282673145	500.054	1262.041	441.431	12.4082	667.529	1108.960	great.call
22	Spectrogram 1	1	525.710588801	525.934575571	732.222	1119.168	161.499	0.1088	872.095	1033.594	male.coda
23	Spectrogram 1	1	525.990572263	526.494542495	779.846	1059.638	150.732	0.4354	796.729	947.461	male.coda
24	Spectrogram 1	1	791.603731686	806.582846902	398.853	1351.336	462.964	11.0748	656.763	1119.727	great.call
25	Spectrogram 1	1	807.674782403	808.066759250	631.021	1113.215	215.332	0.0816	764.429	979.761	male.coda
26	Spectrogram 1	1	808.178752635	808.458736097	785.799	1006.061	107.666	0.1361	829.028	936.694	male.coda
27	Spectrogram 1	1	808.598727828	808.710721212	756.034	1214.417	215.332	0.0816	764.429	979.761	male.coda
28	Spectrogram 1	1	809.186693098	809.410679867	684.598	1000.108	193.799	0.1361	742.896	936.694	male.coda
29	Spectrogram 1	1	808.906709636	809.102698059	726.269	1154.887	226.099	0.1361	839.795	1065.894	male.coda
30	Spectrogram 1	1	809.410679867	809.690663329	619.114	898.907	172.266	0.1633	678.296	850.562	male.coda
