Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	18.896440776	36.045311712	494.101	1434.679	344.531	9.7143	656.763	1001.294	great.call
2	Spectrogram 1	1	88.676217569	106.614839141	488.148	1387.055	312.231	9.3333	656.763	968.994	great.call
3	Spectrogram 1	1	108.984091046	109.378966364	595.302	1012.014	183.032	0.1361	710.596	893.628	male.coda
4	Spectrogram 1	1	109.343335373	109.822826830	595.302	982.249	96.899	0.2993	721.362	818.262	male.coda
5	Spectrogram 1	1	109.963853729	110.330523667	601.255	952.484	118.433	0.2449	689.062	807.495	male.coda
6	Spectrogram 1	1	110.330523667	111.035658163	583.396	946.531	118.433	0.2449	678.296	796.729	male.coda
7	Spectrogram 1	1	162.421205372	180.444443083	488.148	1464.444	419.897	12.4626	656.763	1076.660	great.call
8	Spectrogram 1	1	183.434213345	183.603445624	577.443	1006.061	204.565	0.1088	699.829	904.395	male.coda
9	Spectrogram 1	1	183.688061764	184.167553221	601.255	1006.061	247.632	0.4082	667.529	915.161	male.coda
10	Spectrogram 1	1	184.026526322	184.449607019	571.490	869.141	139.966	0.4082	678.296	818.262	male.coda
11	Spectrogram 1	1	184.280374740	184.788071577	648.880	994.155	193.799	0.2993	710.596	904.395	male.coda
12	Spectrogram 1	1	274.010775649	274.518472485	529.819	946.531	96.899	0.2177	678.296	775.195	male.coda
13	Spectrogram 1	1	273.362051912	273.926159509	541.725	976.296	118.433	0.3537	678.296	796.729	male.coda
14	Spectrogram 1	1	272.995381975	273.305641153	636.974	803.658	75.366	0.1361	699.829	775.195	male.coda
15	Spectrogram 1	1	252.648719282	271.433502248	458.383	1482.303	473.730	11.2925	667.529	1141.260	great.call
16	Spectrogram 1	1	330.957105069	347.485457649	470.289	1410.867	376.831	9.9592	667.529	1044.360	great.call
17	Spectrogram 1	1	348.444440563	348.782905121	559.584	982.249	204.565	0.1088	710.596	915.161	male.coda
18	Spectrogram 1	1	348.839315881	349.375218098	506.007	928.672	96.899	0.3265	667.529	764.429	male.coda
19	Spectrogram 1	1	349.488039617	350.052147213	535.772	928.672	96.899	0.2177	667.529	764.429	male.coda
20	Spectrogram 1	1	402.818206421	422.082480845	470.289	1404.914	387.598	11.8095	656.763	1044.360	great.call
21	Spectrogram 1	1	423.633776735	424.169678952	583.396	1065.591	226.099	0.1088	742.896	968.994	male.coda
22	Spectrogram 1	1	424.282500472	424.931224208	589.349	964.390	193.799	0.2993	689.062	882.861	male.coda
23	Spectrogram 1	1	476.935738160	495.128208150	446.477	1404.914	495.264	11.8639	667.529	1162.793	great.call
24	Spectrogram 1	1	495.523083468	495.917958785	678.645	1053.685	193.799	0.0816	764.429	958.228	male.coda
25	Spectrogram 1	1	495.917958785	497.271817017	601.255	916.766	172.266	0.5714	710.596	882.861	male.coda
26	Spectrogram 1	1	556.580748089	574.406548141	523.866	1410.867	549.097	11.7007	667.529	1216.626	great.call
27	Spectrogram 1	1	575.619379474	575.901433272	625.067	1071.544	226.099	0.1361	753.662	979.761	male.coda
28	Spectrogram 1	1	575.957844032	576.296308590	607.208	976.296	226.099	0.1633	689.062	915.161	male.coda
29	Spectrogram 1	1	576.634773148	577.086059225	589.349	940.578	172.266	0.2993	689.062	861.328	male.coda
30	Spectrogram 1	1	664.017477726	682.181742336	470.289	1547.786	506.030	13.9320	667.529	1173.560	great.call
31	Spectrogram 1	1	683.027903731	683.535600568	708.410	1071.544	258.398	0.2177	764.429	1022.827	male.coda
32	Spectrogram 1	1	683.563805948	684.184324304	577.443	970.343	204.565	0.3265	678.296	882.861	male.coda
33	Spectrogram 1	1	756.337675388	772.499358030	482.195	1434.679	473.730	11.0476	667.529	1141.260	great.call
34	Spectrogram 1	1	773.514751704	773.909627021	642.927	1077.497	269.165	0.1633	764.429	1033.594	male.coda
35	Spectrogram 1	1	774.135270060	774.896815315	577.443	1083.450	258.398	0.5714	710.596	968.994	male.coda
36	Spectrogram 1	1	883.578128067	899.514167671	517.913	1422.773	506.030	10.7211	689.062	1195.093	great.call
37	Spectrogram 1	1	900.726999003	901.178285081	696.504	1077.497	226.099	0.1633	764.429	990.527	male.coda
38	Spectrogram 1	1	901.121874321	901.685981917	595.302	1041.779	269.165	0.3537	689.062	958.228	male.coda
39	Spectrogram 1	1	902.080857235	902.560348692	732.222	940.578	129.199	0.2177	775.195	904.395	male.coda
