Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	9.727345114	28.201349321	471.455	1460.670	602.930	12.3537	667.529	1270.459	great.call
2	Spectrogram 1	1	53.615660621	70.499363175	429.361	1620.628	613.696	11.8367	667.529	1281.226	great.call
3	Spectrogram 1	1	115.367271568	131.800388653	500.921	1506.974	667.529	9.8503	689.062	1356.592	great.call
4	Spectrogram 1	1	150.435661821	162.018358864	467.246	1460.670	484.497	8.6803	635.229	1119.727	great.call
5	Spectrogram 1	1	217.684123784	228.789730331	429.361	1620.628	656.763	8.0544	635.229	1291.992	great.call
6	Spectrogram 1	1	251.856134372	271.178299461	513.550	1608.000	602.930	12.2449	689.062	1291.992	great.call
7	Spectrogram 1	1	286.580323786	298.666616352	479.874	1448.042	419.897	8.2993	635.229	1055.127	great.call
8	Spectrogram 1	1	318.977955179	330.931722607	488.293	1519.602	656.763	8.1361	667.529	1324.292	great.call
9	Spectrogram 1	1	339.898909640	351.216556407	479.874	1528.021	527.563	8.4898	624.463	1152.026	great.call
10	Spectrogram 1	1	387.958825208	399.488512195	437.780	1561.696	506.030	8.3537	624.463	1130.493	great.call
11	Spectrogram 1	1	408.064007796	423.622458972	513.550	1570.115	635.229	10.0136	689.062	1324.292	great.call
12	Spectrogram 1	1	454.078609912	465.290236569	479.874	1582.743	602.930	7.8367	635.229	1238.159	great.call
13	Spectrogram 1	1	503.161910821	514.108487202	429.361	1540.649	527.563	7.7007	635.229	1162.793	great.call
14	Spectrogram 1	1	521.130132392	539.233066214	530.387	1540.649	645.996	13.4150	656.763	1302.759	great.call
15	Spectrogram 1	1	565.474553676	575.551254574	543.016	1464.879	538.330	8.2177	635.229	1173.560	great.call
16	Spectrogram 1	1	577.004240664	577.216280884	749.277	1052.356	161.499	0.0544	785.962	947.461	male.coda
17	Spectrogram 1	1	577.348806022	578.037936738	635.623	782.953	53.833	0.4354	689.062	742.896	male.coda
18	Spectrogram 1	1	577.958421656	578.409007124	690.345	963.958	204.565	0.0816	721.362	925.928	male.coda
19	Spectrogram 1	1	578.409007124	578.939107675	660.879	850.304	118.433	0.1361	689.062	807.495	male.coda
20	Spectrogram 1	1	579.098137841	579.495713254	677.717	1001.843	183.032	0.0816	732.129	915.161	male.coda
21	Spectrogram 1	1	619.869535349	631.478737419	463.037	1481.717	495.264	9.0068	635.229	1130.493	great.call
22	Spectrogram 1	1	632.167868135	632.671463659	673.508	909.235	96.899	0.1088	710.596	807.495	male.coda
23	Spectrogram 1	1	632.591948576	633.599139623	534.597	795.581	53.833	0.5986	667.529	721.362	male.coda
24	Spectrogram 1	1	633.758169789	633.996715037	555.644	883.979	139.966	0.0816	645.996	785.962	male.coda
25	Spectrogram 1	1	634.076230119	634.606330671	593.529	753.487	43.066	0.2177	656.763	699.829	male.coda
26	Spectrogram 1	1	661.886669152	678.213766127	471.455	1549.068	635.229	10.5578	667.529	1302.759	great.call
27	Spectrogram 1	1	697.544053994	708.172570044	500.921	1511.183	419.897	6.9388	656.763	1076.660	great.call
28	Spectrogram 1	1	761.807029117	772.806615553	484.084	1506.974	473.730	8.0272	635.229	1108.960	great.call
29	Spectrogram 1	1	787.875113869	804.175705816	484.084	1506.974	592.163	12.1088	678.296	1270.459	great.call
30	Spectrogram 1	1	824.857750511	836.891033022	458.827	1620.628	559.863	10.1224	613.696	1173.560	great.call
31	Spectrogram 1	1	837.765698931	837.924729096	589.319	888.188	161.499	0.1088	678.296	839.795	male.coda
32	Spectrogram 1	1	838.083759262	838.242789427	749.277	1001.843	172.266	0.0544	785.962	958.228	male.coda
33	Spectrogram 1	1	838.295799482	838.587354785	707.183	959.749	183.032	0.1361	742.896	925.928	male.coda
34	Spectrogram 1	1	838.719879923	838.931920144	728.230	1018.680	204.565	0.1088	753.662	958.228	male.coda
