Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	14.980888179	27.922868347	425.152	1608.000	581.396	8.1905	592.163	1173.560	great.call
2	Spectrogram 1	1	59.637684996	71.087850085	458.827	1574.324	559.863	8.7075	602.930	1162.793	great.call
3	Spectrogram 1	1	134.517614267	146.064650465	412.523	1553.277	538.330	8.2993	602.930	1141.260	great.call
4	Spectrogram 1	1	147.730833540	148.021446867	475.665	1199.686	441.431	0.1088	689.062	1130.493	male.coda
5	Spectrogram 1	1	148.021446867	148.505802413	568.272	1035.518	301.465	0.2993	689.062	990.527	male.coda
6	Spectrogram 1	1	148.738293074	149.358268172	450.408	959.749	204.565	0.2993	559.863	764.429	male.coda
7	Spectrogram 1	1	171.623471953	183.732360584	463.037	1448.042	527.563	8.3265	592.163	1119.727	great.call
8	Spectrogram 1	1	218.454926362	229.982588339	484.084	1620.628	570.630	7.7551	602.930	1173.560	great.call
9	Spectrogram 1	1	231.444774966	231.718767838	530.387	1182.848	441.431	0.1088	667.529	1108.960	male.coda
10	Spectrogram 1	1	231.759866769	232.239354296	564.063	1123.916	312.231	0.3537	635.229	947.461	male.coda
11	Spectrogram 1	1	232.390050376	232.718841822	534.597	820.838	172.266	0.1633	592.163	764.429	male.coda
12	Spectrogram 1	1	232.979135051	233.157230418	500.921	909.235	172.266	0.0544	635.229	807.495	male.coda
13	Spectrogram 1	1	261.166573366	273.304457614	488.293	1671.141	527.563	8.0544	602.930	1130.493	great.call
14	Spectrogram 1	1	275.493092359	275.890382024	564.063	1212.314	430.664	0.1361	689.062	1119.727	male.coda
15	Spectrogram 1	1	275.999979173	276.191774184	572.482	985.005	204.565	0.0816	678.296	882.861	male.coda
16	Spectrogram 1	1	276.260272402	276.493166344	652.461	938.701	139.966	0.1361	689.062	829.028	male.coda
17	Spectrogram 1	1	276.465767056	276.684961354	492.503	795.581	150.732	0.1361	581.396	732.129	male.coda
18	Spectrogram 1	1	302.050273261	314.037461430	475.665	1654.303	559.863	9.0612	602.930	1162.793	great.call
19	Spectrogram 1	1	317.647457536	318.044747201	534.597	1250.199	452.197	0.1633	699.829	1152.026	male.coda
20	Spectrogram 1	1	318.099545775	318.387238291	618.785	938.701	129.199	0.2177	678.296	807.495	male.coda
21	Spectrogram 1	1	318.455736509	318.633831876	513.550	804.000	139.966	0.0816	624.463	764.429	male.coda
22	Spectrogram 1	1	318.702330094	319.127019047	496.712	934.492	150.732	0.2721	635.229	785.962	male.coda
23	Spectrogram 1	1	345.927391958	358.544763733	479.874	1671.141	559.863	8.8163	602.930	1162.793	great.call
24	Spectrogram 1	1	360.058714365	360.319007594	526.178	1123.916	387.598	0.1361	689.062	1076.660	male.coda
25	Spectrogram 1	1	360.510802605	360.853293695	530.387	913.445	215.332	0.2449	592.163	807.495	male.coda
26	Spectrogram 1	1	392.006751702	404.637823121	505.131	1612.209	570.630	8.2177	602.930	1173.560	great.call
27	Spectrogram 1	1	406.829858588	407.035353242	681.927	1178.639	312.231	0.1088	764.429	1076.660	male.coda
28	Spectrogram 1	1	407.172349679	407.350445046	766.115	1098.660	236.865	0.1088	796.729	1033.594	male.coda
29	Spectrogram 1	1	407.405243620	407.734035067	580.900	997.633	258.398	0.2177	656.763	915.161	male.coda
30	Spectrogram 1	1	407.788833642	408.117625089	576.691	955.539	204.565	0.2449	656.763	861.328	male.coda
31	Spectrogram 1	1	438.825891349	450.908977023	492.503	1515.392	581.396	8.4082	602.930	1184.326	great.call
32	Spectrogram 1	1	452.381828724	452.587323378	517.759	1132.335	236.865	0.0816	732.129	968.994	male.coda
33	Spectrogram 1	1	452.655821596	452.875015894	724.021	1363.853	279.932	0.1361	764.429	1044.360	male.coda
34	Spectrogram 1	1	452.943514112	453.286005203	614.576	968.167	193.799	0.1905	656.763	850.562	male.coda
35	Spectrogram 1	1	453.313404490	453.573697719	559.853	804.000	161.499	0.0544	602.930	764.429	male.coda
36	Spectrogram 1	1	480.651465078	493.994917965	454.618	1679.560	549.097	8.9252	602.930	1152.026	great.call
37	Spectrogram 1	1	496.385645789	496.687037948	572.482	1292.293	473.730	0.0816	710.596	1184.326	male.coda
38	Spectrogram 1	1	496.755536166	497.002129752	736.649	1111.288	269.165	0.1088	775.195	1044.360	male.coda
39	Spectrogram 1	1	497.056928326	497.358320486	644.042	989.215	236.865	0.1905	667.529	904.395	male.coda
40	Spectrogram 1	1	522.408071357	534.861047408	467.246	1532.230	506.030	8.6259	592.163	1098.193	great.call
41	Spectrogram 1	1	536.604490406	536.892182922	446.199	690.345	150.732	0.0816	506.030	656.763	male.coda
42	Spectrogram 1	1	537.015479715	537.220974369	505.131	1191.267	430.664	0.0816	689.062	1119.727	male.coda
43	Spectrogram 1	1	537.275772944	537.714161539	568.272	963.958	172.266	0.2993	613.696	785.962	male.coda
44	Spectrogram 1	1	537.768960114	538.097751561	538.806	837.675	161.499	0.2177	602.930	764.429	male.coda
45	Spectrogram 1	1	575.666136846	587.954717174	484.084	1612.209	559.863	7.9184	602.930	1162.793	great.call
46	Spectrogram 1	1	589.530269532	589.886460266	485.131	1223.375	387.598	0.1088	742.896	1130.493	male.coda
47	Spectrogram 1	1	589.982357772	590.270050288	577.939	1004.011	226.099	0.2449	689.062	915.161	male.coda
48	Spectrogram 1	1	590.338548506	590.722138527	548.410	974.482	193.799	0.2449	635.229	829.028	male.coda
49	Spectrogram 1	1	590.790636745	591.133127836	527.317	932.296	215.332	0.2177	581.396	796.729	male.coda
50	Spectrogram 1	1	620.050142357	633.530591680	489.350	1543.984	559.863	8.3537	602.930	1162.793	great.call
51	Spectrogram 1	1	635.082145652	635.287640307	565.284	1210.719	387.598	0.0816	742.896	1130.493	male.coda
52	Spectrogram 1	1	635.410937099	635.849325695	624.343	1067.289	258.398	0.2721	689.062	947.461	male.coda
53	Spectrogram 1	1	635.876724982	636.095919280	624.343	869.018	139.966	0.1088	689.062	829.028	male.coda
54	Spectrogram 1	1	636.315113578	636.630205382	569.502	818.396	150.732	0.0816	613.696	764.429	male.coda
55	Spectrogram 1	1	671.407359992	685.216600762	518.880	1421.646	581.396	9.0884	602.930	1184.326	great.call
56	Spectrogram 1	1	687.514832656	687.829924459	594.813	1269.779	452.197	0.1088	710.596	1162.793	male.coda
57	Spectrogram 1	1	687.953221252	688.117616975	683.403	1071.508	290.698	0.0816	721.362	1012.061	male.coda
58	Spectrogram 1	1	688.131316619	688.651903076	582.158	894.329	118.433	0.2721	656.763	775.195	male.coda
59	Spectrogram 1	1	722.425487932	735.453849016	497.787	1472.269	570.630	9.0884	602.930	1173.560	great.call
60	Spectrogram 1	1	737.690478442	737.964471314	502.006	674.966	86.133	0.0816	538.330	624.463	male.coda
61	Spectrogram 1	1	737.895973096	738.320662048	734.025	1143.223	269.165	0.1088	785.962	1055.127	male.coda
62	Spectrogram 1	1	738.416559554	738.909746724	594.813	1075.726	269.165	0.3265	699.829	968.994	male.coda
63	Spectrogram 1	1	768.024333431	783.078103776	518.880	1501.798	549.097	8.2721	602.930	1152.026	great.call
64	Spectrogram 1	1	784.487414593	784.778027920	594.813	1261.342	322.998	0.1361	775.195	1098.193	male.coda
65	Spectrogram 1	1	784.816776364	785.126763913	738.244	1105.256	269.165	0.1361	775.195	1044.360	male.coda
66	Spectrogram 1	1	785.184886578	785.436751462	556.847	991.356	226.099	0.1633	624.463	850.562	male.coda
67	Spectrogram 1	1	819.171363669	831.202755412	464.039	1430.083	516.797	8.7619	602.930	1119.727	great.call
68	Spectrogram 1	1	832.423331386	832.985183818	607.469	1168.534	344.531	0.3537	732.129	1076.660	male.coda
69	Spectrogram 1	1	833.062680706	833.314545589	523.098	1033.541	258.398	0.1361	689.062	947.461	male.coda
70	Spectrogram 1	1	833.377282976	833.726018968	535.754	839.488	161.499	0.2449	613.696	775.195	male.coda
71	Spectrogram 1	1	833.861638521	834.210374514	599.032	906.985	129.199	0.2449	667.529	796.729	male.coda
72	Spectrogram 1	1	834.287871401	834.617233172	544.191	877.455	172.266	0.2177	592.163	764.429	male.coda
73	Spectrogram 1	1	862.534833230	874.585599195	493.569	1484.924	495.264	8.8163	592.163	1087.427	great.call
74	Spectrogram 1	1	876.019291609	876.678015151	649.654	1189.627	430.664	0.3537	699.829	1130.493	male.coda
75	Spectrogram 1	1	876.755512038	877.007376921	649.654	978.700	247.632	0.2177	689.062	936.694	male.coda
76	Spectrogram 1	1	876.968628478	877.414235579	552.628	970.263	193.799	0.2721	645.996	839.795	male.coda
77	Spectrogram 1	1	916.331256221	928.788880844	502.006	1506.017	559.863	8.6259	602.930	1162.793	great.call
78	Spectrogram 1	1	930.842548356	931.191284349	653.873	1299.309	419.897	0.1361	721.362	1141.260	male.coda
79	Spectrogram 1	1	931.191284349	931.540020341	615.906	1168.534	322.998	0.2177	775.195	1098.193	male.coda
80	Spectrogram 1	1	931.598143007	931.791885225	582.158	949.170	236.865	0.1361	667.529	904.395	male.coda
81	Spectrogram 1	1	931.946878999	932.295614992	556.847	847.925	172.266	0.1905	602.930	775.195	male.coda
82	Spectrogram 1	1	932.663725206	933.089958086	485.131	717.151	107.666	0.1905	559.863	667.529	male.coda
83	Spectrogram 1	1	965.337500820	977.737002777	476.694	1527.110	527.563	8.0816	602.930	1130.493	great.call
84	Spectrogram 1	1	979.625792649	979.858283310	586.376	1236.031	419.897	0.1088	710.596	1130.493	male.coda
85	Spectrogram 1	1	979.955154419	980.187645081	696.058	1139.004	269.165	0.1088	775.195	1044.360	male.coda
86	Spectrogram 1	1	980.168270859	980.478258408	696.058	1096.819	290.698	0.1361	753.662	1044.360	male.coda
87	Spectrogram 1	1	980.439509965	980.826994401	590.595	1172.753	312.231	0.2993	689.062	1001.294	male.coda
