Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	5.057719031	22.394117396	479.874	1405.947	376.831	9.1701	667.529	1044.360	great.call
2	Spectrogram 1	1	24.069867677	24.405017734	656.670	1018.680	236.865	0.1361	710.596	947.461	male.coda
3	Spectrogram 1	1	24.435485920	24.862040538	622.995	972.377	215.332	0.2721	689.062	904.395	male.coda
4	Spectrogram 1	1	124.323217246	141.659615611	580.900	1389.110	355.298	9.6054	656.763	1012.061	great.call
5	Spectrogram 1	1	142.482256658	143.000215836	597.738	1027.099	226.099	0.1361	721.362	947.461	male.coda
6	Spectrogram 1	1	142.969747649	143.975197818	669.298	980.796	96.899	0.4082	796.729	893.628	male.coda
7	Spectrogram 1	1	261.877401494	279.640354476	479.874	1418.576	204.565	7.8639	656.763	861.328	great.call
8	Spectrogram 1	1	280.584868271	280.889550141	627.204	1006.052	226.099	0.1088	721.362	947.461	male.coda
9	Spectrogram 1	1	280.828613767	281.346572945	627.204	942.911	96.899	0.1361	796.729	893.628	male.coda
10	Spectrogram 1	1	281.407509319	281.864532123	601.948	875.560	129.199	0.2449	689.062	818.262	male.coda
11	Spectrogram 1	1	281.803595749	282.352023114	593.529	879.770	86.133	0.2721	699.829	785.962	male.coda
12	Spectrogram 1	1	282.352023114	282.869982291	606.157	934.492	118.433	0.3537	689.062	807.495	male.coda
13	Spectrogram 1	1	370.581786956	386.090094105	543.016	1448.042	301.465	9.1429	656.763	958.228	great.call
14	Spectrogram 1	1	388.040058069	388.527549060	601.948	1039.728	226.099	0.2177	699.829	925.928	male.coda
15	Spectrogram 1	1	388.497080873	389.411126481	644.042	959.749	139.966	0.3810	753.662	893.628	male.coda
16	Spectrogram 1	1	448.421272704	466.915462172	543.016	1422.785	484.497	14.4218	656.763	1141.260	great.call
17	Spectrogram 1	1	517.375603359	539.129888830	513.550	1481.717	462.964	11.3741	656.763	1119.727	great.call
18	Spectrogram 1	1	611.291153434	629.907215651	500.921	1422.785	409.131	10.7755	656.763	1065.894	great.call
19	Spectrogram 1	1	632.043979586	632.287725082	538.806	968.167	161.499	0.0816	678.296	839.795	male.coda
20	Spectrogram 1	1	632.379129643	632.897088821	568.272	1006.052	172.266	0.3810	699.829	872.095	male.coda
21	Spectrogram 1	1	633.018961568	633.445516185	576.691	1022.890	193.799	0.3537	678.296	872.095	male.coda
22	Spectrogram 1	1	633.475984372	633.811134429	564.063	875.560	86.133	0.2449	678.296	764.429	male.coda
23	Spectrogram 1	1	633.872070802	634.359561793	568.272	757.696	86.133	0.1905	624.463	710.596	male.coda
24	Spectrogram 1	1	763.603703927	782.372107077	521.969	1422.785	462.964	11.6463	656.763	1119.727	great.call
25	Spectrogram 1	1	783.072875377	783.529898181	564.063	1107.078	301.465	0.1905	721.362	1022.827	male.coda
26	Spectrogram 1	1	852.366347387	869.946491247	564.063	1426.995	409.131	12.1633	678.296	1087.427	great.call
