Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	34.031166208	42.593362695	566.2	1474.6	419.897	5.4966	807.495	1227.393	great.call
2	Spectrogram 1	1	111.352076119	120.971805803	653.3	1549.2	322.998	6.0680	839.795	1162.793	great.call
3	Spectrogram 1	1	232.401462640	242.518105512	591.1	1487.0	484.497	6.5850	764.429	1248.926	great.call
4	Spectrogram 1	1	247.417466991	247.723259723	696.8	1101.3	258.398	0.1633	753.662	1012.061	male.coda
5	Spectrogram 1	1	247.736001087	248.054535182	659.5	1007.9	150.732	0.2177	742.896	893.628	male.coda
6	Spectrogram 1	1	248.232914276	248.462258824	672.0	1070.1	183.032	0.1361	732.129	915.161	male.coda
7	Spectrogram 1	1	248.475000188	248.717086101	715.5	951.9	96.899	0.1633	753.662	850.562	male.coda
8	Spectrogram 1	1	248.780792920	249.010137469	746.6	1045.3	150.732	0.1633	796.729	947.461	male.coda
