Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
1	Spectrogram 1	1	36.528308085	47.285202065	500.1	1387.1	506.030	7.7823	635.229	1141.260	great.call
2	Spectrogram 1	1	53.287336296	53.477077980	744.1	970.3	139.966	0.0816	785.962	925.928	male.coda
3	Spectrogram 1	1	53.739797236	53.914943407	750.1	1053.7	215.332	0.0816	796.729	1012.061	male.coda
4	Spectrogram 1	1	54.236044720	54.469572947	756.0	1041.8	183.032	0.1088	796.729	979.761	male.coda
5	Spectrogram 1	1	81.138660154	92.289633019	494.1	1387.1	506.030	7.9456	624.463	1130.493	great.call
6	Spectrogram 1	1	94.912954685	95.394606655	577.4	845.3	118.433	0.2177	635.229	753.662	male.coda
7	Spectrogram 1	1	95.613539368	95.920045166	571.5	797.7	107.666	0.0816	624.463	732.129	male.coda
8	Spectrogram 1	1	121.658693153	133.451868644	500.1	1339.4	462.964	8.0816	624.463	1087.427	great.call
9	Spectrogram 1	1	143.376522509	143.595455222	863.2	1238.2	193.799	0.0272	936.694	1130.493	male.coda
10	Spectrogram 1	1	143.756005879	143.945747564	779.8	1166.8	215.332	0.0816	882.861	1098.193	male.coda
11	Spectrogram 1	1	144.223062334	144.412804019	744.1	1065.6	172.266	0.0544	829.028	1001.294	male.coda
12	Spectrogram 1	1	167.290730573	179.244456720	470.3	1410.9	506.030	7.7551	645.996	1152.026	great.call
14	Spectrogram 1	1	181.940755958	182.130497643	583.4	815.6	86.133	0.0544	667.529	753.662	male.coda
15	Spectrogram 1	1	182.130497643	182.437003441	619.1	1220.4	387.598	0.1088	742.896	1130.493	male.coda
16	Spectrogram 1	1	216.458458168	228.076487488	470.3	1369.2	495.264	7.9456	635.229	1130.493	great.call
17	Spectrogram 1	1	229.999323074	230.364210929	619.1	1238.2	398.364	0.1905	732.129	1130.493	male.coda
18	Spectrogram 1	1	230.641525699	230.831267384	648.9	1047.7	258.398	0.1361	689.062	947.461	male.coda
19	Spectrogram 1	1	256.099184581	267.615045301	506.0	1399.0	495.264	7.2381	635.229	1130.493	great.call
20	Spectrogram 1	1	270.606928513	270.723692627	595.3	827.5	86.133	0.0272	678.296	764.429	male.coda
