Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	BW 90% (Hz)	Dur 90% (s)	Freq 5% (Hz)	Freq 95% (Hz)	Call type
56	Spectrogram 1	1	835.051874475	835.363446290	637.800	1008.000	193.799	0.0816	721.362	915.161	male.coda
57	Spectrogram 1	1	870.292077948	881.386260079	523.900	1605.900	452.197	7.9456	732.129	1184.326	great.call
58	Spectrogram 1	1	882.608878836	882.875940392	780.200	1514.800	527.563	0.1633	893.628	1421.191	male.coda
60	Spectrogram 1	1	882.920450652	883.376680809	700.500	1059.200	96.899	0.1905	807.495	904.395	male.coda
61	Spectrogram 1	1	883.421191069	884.088844958	677.700	1104.800	150.732	0.2177	829.028	979.761	male.coda
62	Spectrogram 1	1	922.369664077	933.430463513	506.800	1497.700	441.431	8.6803	732.129	1173.560	great.call
63	Spectrogram 1	1	934.774796946	935.164261715	728.900	1571.700	570.630	0.1633	850.562	1421.191	male.coda
64	Spectrogram 1	1	935.242154669	935.820788040	746.000	1127.600	193.799	0.2721	861.328	1055.127	male.coda
65	Spectrogram 1	1	935.932063688	936.288145762	711.800	1440.800	506.030	0.1361	850.562	1356.592	male.coda
66	Spectrogram 1	1	965.324060422	975.183082857	489.700	1571.700	473.730	6.7755	732.129	1205.859	great.call
67	Spectrogram 1	1	976.330599627	976.664426571	764.700	1569.300	462.964	0.1361	915.161	1378.125	male.coda
68	Spectrogram 1	1	976.708936831	977.231932377	707.600	1152.700	183.032	0.2721	893.628	1076.660	male.coda
69	Spectrogram 1	1	977.298697766	977.899586267	696.200	1135.600	236.865	0.1905	796.729	1033.594	male.coda
70	Spectrogram 1	1	1019.156322807	1028.915197158	564.900	1500.800	495.264	7.3469	732.129	1227.393	great.call
71	Spectrogram 1	1	1030.204581305	1030.516153120	667.700	1535.100	484.497	0.1361	893.628	1378.125	male.coda
72	Spectrogram 1	1	1030.638556333	1030.972383278	684.800	1255.400	215.332	0.1633	872.095	1087.427	male.coda
73	Spectrogram 1	1	1031.139296750	1031.551016649	610.600	1244.000	226.099	0.1088	818.262	1044.360	male.coda
